project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
bfs;test_3-5_0-2_83;180;77;0;77;103;42.78
bfs;test_3-5_0-9_279;180;96;0;96;84;53.33
bfs;test_3-5_0-3_115;180;103;0;103;77;57.22
bfs;test_3-5_0-7_224;180;103;0;103;77;57.22
bfs;test_3-5_1-0_326;180;122;0;122;58;67.78
bfs;test_3-5_0-0_10;180;104;0;104;76;57.78
bfs;test_3-5_0-4_137;180;65;0;65;115;36.11
bfs;test_3-5_1-0_310;180;115;0;115;65;63.89
bfs;test_3-5_0-7_226;180;103;0;103;77;57.22
bfs;test_3-5_1-0_329;180;105;0;105;75;58.33
bfs;test_3-5_0-2_78;180;69;0;69;111;38.33
bfs;test_3-5_0-8_262;180;66;0;66;114;36.67
bfs;test_3-5_0-8_251;180;105;0;105;75;58.33
bfs;test_3-5_0-4_123;180;105;0;105;75;58.33
bfs;test_3-5_0-0_4;180;104;0;104;76;57.78
bfs;test_3-5_0-6_200;180;103;0;103;77;57.22
bfs;test_3-5_0-1_50;180;104;0;104;76;57.78
bfs;test_3-5_0-6_183;180;103;0;103;77;57.22
bfs;test_3-5_0-5_177;180;103;0;103;77;57.22
bfs;test_3-5_0-5_180;180;103;0;103;77;57.22
bfs;test_3-5_0-3_116;180;103;0;103;77;57.22
bfs;test_3-5_0-2_70;180;103;0;103;77;57.22
bfs;test_3-5_0-4_133;180;103;0;103;77;57.22
bfs;test_3-5_1-0_322;180;103;0;103;77;57.22
bfs;test_3-5_0-9_284;180;77;0;77;103;42.78
bfs;test_3-5_0-4_150;180;103;0;103;77;57.22
bfs;test_3-5_1-0_328;180;108;0;108;72;60.00
bfs;test_3-5_0-9_300;180;104;0;104;76;57.78
bfs;test_3-5_0-8_248;180;106;0;106;74;58.89
bfs;test_3-5_0-3_95;180;103;0;103;77;57.22
bfs;test_3-5_1-0_301;180;121;0;121;59;67.22
bfs;test_3-5_0-3_104;180;103;0;103;77;57.22
bfs;test_3-5_0-8_268;180;69;0;69;111;38.33
bfs;test_3-5_0-3_114;180;103;0;103;77;57.22
bfs;test_3-5_0-7_236;180;121;0;121;59;67.22
bfs;test_3-5_0-7_220;180;103;0;103;77;57.22
bfs;test_3-5_0-3_118;180;103;0;103;77;57.22
bfs;test_3-5_0-1_48;180;103;0;103;77;57.22
bfs;test_3-5_0-0_5;180;103;0;103;77;57.22
bfs;test_3-5_0-3_91;180;103;0;103;77;57.22
bfs;test_3-5_0-5_176;180;66;0;66;114;36.67
bfs;test_3-5_0-2_90;180;103;0;103;77;57.22
bfs;test_3-5_0-6_185;180;103;0;103;77;57.22
bfs;test_3-5_0-8_250;180;103;0;103;77;57.22
bfs;test_3-5_0-7_225;180;103;0;103;77;57.22
bfs;test_3-5_0-4_130;180;104;0;104;76;57.78
bfs;test_3-5_0-8_253;180;103;0;103;77;57.22
bfs;test_3-5_1-0_314;180;103;0;103;77;57.22
bfs;test_3-5_0-9_293;180;121;0;121;59;67.22
bfs;test_3-5_0-2_77;180;103;0;103;77;57.22
bfs;test_3-5_0-0_17;180;104;0;104;76;57.78
bfs;test_3-5_0-4_143;180;69;0;69;111;38.33
bfs;test_3-5_1-0_312;180;70;0;70;110;38.89
bfs;test_3-5_0-4_121;180;103;0;103;77;57.22
bfs;test_3-5_1-0_319;180;103;0;103;77;57.22
bfs;test_3-5_0-9_297;180;65;0;65;115;36.11
bfs;test_3-5_0-6_203;180;103;0;103;77;57.22
bfs;test_3-5_0-6_181;180;103;0;103;77;57.22
bfs;test_3-5_0-9_292;180;76;0;76;104;42.22
bfs;test_3-5_0-7_222;180;103;0;103;77;57.22
bfs;test_3-5_0-7_233;180;103;0;103;77;57.22
bfs;test_3-5_1-0_308;180;64;0;64;116;35.56
bfs;test_3-5_0-1_46;180;103;0;103;77;57.22
bfs;test_3-5_0-2_67;180;104;0;104;76;57.78
bfs;test_3-5_0-6_196;180;69;0;69;111;38.33
bfs;test_3-5_0-5_172;180;104;0;104;76;57.78
