Project,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
bfs,90.28,89.93,90.21,89.50,89.33,90.36,89.06,87.81,87.15,88.73,86.71
binheap,0.00,0.00,0.00,0.00,94.44,94.44,83.33,66.67,72.22,79.63,0.00
bst1,0.00,0.00,0.00,0.00,0.00,90.00,90.00,82.50,88.33,85.00,90.00
bst2,74.00,73.00,72.62,72.29,73.00,73.97,71.08,72.50,74.27,70.57,64.87
combinations,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
complement,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
convert-base,0.00,100.00,100.00,93.75,84.38,100.00,95.00,71.88,87.50,75.00,87.50
deque,100.00,100.00,100.00,100.00,100.00,83.33,100.00,100.00,100.00,81.25,90.00
dfs,100.00,99.49,99.74,99.23,99.51,99.51,99.47,100.00,98.50,97.83,96.43
dijkstras,0.00,0.00,0.00,0.00,0.00,91.67,91.67,91.67,87.50,91.67,83.33
dll,62.70,63.89,60.55,64.68,60.76,66.67,63.89,68.89,61.94,65.55,67.59
factorial,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
fenwick,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00
fibonacci,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
find-duplicates,87.50,87.50,87.50,87.50,87.50,87.73,88.04,87.87,88.64,89.34,90.79
first-missing-positive,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.44,100.00,99.44
fizz-buzz,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
graph1,67.77,63.22,67.73,66.82,70.07,74.15,64.29,71.02,65.50,68.56,70.08
graph2,0.00,0.00,25.00,25.00,25.00,25.00,37.50,25.00,47.50,46.88,25.00
hamming,75.00,75.00,76.32,76.25,80.68,83.33,79.55,85.87,90.22,92.11,88.75
hashmap,81.31,81.81,78.57,80.30,81.82,80.07,79.95,78.10,76.47,79.42,79.39
heap,72.73,73.64,75.97,76.77,79.54,78.41,79.80,77.27,77.92,86.36,80.30
heapsort,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
linked-list1,73.08,73.08,72.53,72.44,73.08,72.78,71.15,75.74,73.08,74.68,74.87
linked-list2,72.22,75.39,77.78,76.39,73.61,76.98,74.79,78.47,75.55,77.22,75.93
long-comm,91.81,91.25,93.75,92.50,94.40,94.17,95.26,95.00,96.25,96.88,96.98
lru-cache,64.29,67.19,72.16,74.31,75.00,81.25,77.50,81.25,82.95,79.86,84.21
mergesort,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
naive-tree,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00
perm-word,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
priority-queue1,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00
priority-queue2,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
queue,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
quicksort,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
rabin-karp,91.67,91.67,93.06,91.67,93.75,93.06,92.71,94.45,91.67,92.50,92.27
radixsort,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00
stack,0.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00
trie,0.00,0.00,0.00,0.00,0.00,100.00,100.00,96.43,100.00,100.00,97.62
word-squares,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00
