project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
complement;test_3-5_0-2_83;27;11;15;26;1;96.30
complement;test_3-5_1-0_328;27;12;15;27;0;100.00
complement;test_3-5_0-9_300;27;13;14;27;0;100.00
complement;test_3-5_0-3_114;27;11;15;26;1;96.30
complement;test_3-5_0-7_222;27;11;16;27;0;100.00
complement;test_3-5_0-2_67;27;11;15;26;1;96.30
complement;test_3-5_1-0_317;27;13;14;27;0;100.00
complement;test_3-5_0-7_227;27;11;15;26;1;96.30
complement;test_3-5_0-4_139;27;11;15;26;1;96.30
complement;test_3-5_0-8_264;27;12;15;27;0;100.00
complement;test_3-5_0-0_3;27;11;15;26;1;96.30
complement;test_3-5_0-7_212;27;11;16;27;0;100.00
complement;test_3-5_0-9_299;27;13;14;27;0;100.00
complement;test_3-5_0-4_148;27;11;16;27;0;100.00
complement;test_3-5_0-3_112;27;11;15;26;1;96.30
complement;test_3-5_0-7_238;27;11;15;26;1;96.30
complement;test_3-5_0-2_81;27;11;15;26;1;96.30
complement;test_3-5_0-3_96;27;11;15;26;1;96.30
complement;test_3-5_0-1_49;27;11;15;26;1;96.30
complement;test_3-5_0-6_201;27;15;12;27;0;100.00
complement;test_3-5_0-5_169;9;4;5;9;0;100.00
complement;test_3-5_1-0_323;27;14;12;26;1;96.30
complement;test_3-5_0-3_92;27;11;15;26;1;96.30
complement;test_3-5_0-1_53;27;11;15;26;1;96.30
complement;test_3-5_0-0_29;27;11;15;26;1;96.30
complement;test_3-5_0-2_62;27;11;15;26;1;96.30
complement;test_3-5_0-1_43;27;11;15;26;1;96.30
complement;test_3-5_0-2_61;27;11;15;26;1;96.30
complement;test_3-5_0-7_218;27;12;15;27;0;100.00
complement;test_3-5_0-4_124;27;11;15;26;1;96.30
complement;test_3-5_0-0_30;27;11;15;26;1;96.30
complement;test_3-5_0-2_89;27;11;15;26;1;96.30
complement;test_3-5_0-7_237;27;14;12;26;1;96.30
complement;test_3-5_0-2_68;27;11;16;27;0;100.00
complement;test_3-5_0-7_240;27;14;13;27;0;100.00
complement;test_3-5_0-4_132;27;11;15;26;1;96.30
complement;test_3-5_0-1_57;27;11;15;26;1;96.30
complement;test_3-5_0-2_66;27;11;15;26;1;96.30
complement;test_3-5_0-1_55;27;11;15;26;1;96.30
complement;test_3-5_0-2_69;27;11;15;26;1;96.30
complement;test_3-5_0-9_296;27;11;16;27;0;100.00
complement;test_3-5_0-2_84;27;11;15;26;1;96.30
complement;test_3-5_0-3_102;27;11;15;26;1;96.30
complement;test_3-5_0-0_21;27;11;15;26;1;96.30
complement;test_3-5_0-7_234;27;11;16;27;0;100.00
complement;test_3-5_0-0_24;27;11;15;26;1;96.30
complement;test_3-5_1-0_306;27;12;15;27;0;100.00
