project;test file;mutants;killed;incompetent;timeout;survived;mutation score
deque;test_3-5_0-9_279;38;26;9;0;3;92.11
deque;test_3-5_0-7_226;38;26;9;0;3;92.11
deque;test_3-5_0-3_95;38;26;9;0;3;92.11
deque;test_3-5_0-3_104;38;26;9;0;3;92.11
deque;test_3-5_0-3_114;38;26;9;0;3;92.11
deque;test_3-5_0-7_220;38;26;9;0;3;92.11
deque;test_3-5_0-2_90;38;26;9;0;3;92.11
deque;test_3-5_1-0_308;38;26;9;0;3;92.11
deque;test_3-5_0-2_67;38;26;9;0;3;92.11
deque;test_3-5_0-5_172;38;26;9;0;3;92.11
deque;test_3-5_0-5_154;38;26;9;0;3;92.11
deque;test_3-5_0-5_179;38;26;9;0;3;92.11
deque;test_3-5_0-3_107;38;26;9;0;3;92.11
deque;test_3-5_0-4_125;38;26;9;0;3;92.11
deque;test_3-5_0-6_199;38;26;9;0;3;92.11
deque;test_3-5_0-8_265;38;26;9;0;3;92.11
deque;test_3-5_0-7_231;38;26;9;0;3;92.11
deque;test_3-5_0-0_25;38;26;9;0;3;92.11
deque;test_3-5_0-9_291;38;27;9;0;2;94.74
deque;test_3-5_1-0_327;38;26;9;0;3;92.11
deque;test_3-5_1-0_320;38;26;9;0;3;92.11
deque;test_3-5_0-8_244;38;26;9;0;3;92.11
deque;test_3-5_0-4_122;38;26;9;0;3;92.11
deque;test_3-5_0-4_145;38;26;9;0;3;92.11
deque;test_3-5_1-0_313;38;26;9;0;3;92.11
deque;test_3-5_0-2_61;38;26;9;0;3;92.11
deque;test_3-5_0-1_58;38;26;9;0;3;92.11
deque;test_3-5_0-9_278;38;26;9;0;3;92.11
deque;test_3-5_0-6_191;38;26;9;0;3;92.11
deque;test_3-5_0-7_240;38;26;9;0;3;92.11
deque;test_3-5_0-0_6;38;26;9;0;3;92.11
deque;test_3-5_0-9_280;38;24;9;0;5;86.84
deque;test_3-5_0-2_72;38;26;9;0;3;92.11
deque;test_3-5_0-8_245;38;26;9;0;3;92.11
deque;test_3-5_0-8_255;38;0;1;0;37;2.63
deque;test_3-5_1-0_303;38;26;9;0;3;92.11
