project;test file;mutants;killed;incompetent;timeout;survived;mutation score
dll;test_3-5_0-4_137;155;79;30;1;45;70.97
dll;test_3-5_1-0_329;155;85;35;3;32;79.35
dll;test_3-5_0-8_251;155;71;30;1;53;65.81
dll;test_3-5_0-0_4;155;82;34;3;36;76.77
dll;test_3-5_0-5_177;155;92;34;3;26;83.23
dll;test_3-5_0-5_180;155;91;35;3;26;83.23
dll;test_3-5_0-4_150;155;90;35;3;27;82.58
dll;test_3-5_0-9_300;155;84;30;1;40;74.19
dll;test_3-5_0-8_248;155;78;32;1;44;71.61
dll;test_3-5_0-5_176;155;84;33;1;37;76.13
dll;test_3-5_0-8_259;155;74;30;1;50;67.74
dll;test_3-5_0-4_130;155;81;30;1;43;72.26
dll;test_3-5_0-4_121;155;78;32;1;44;71.61
dll;test_3-5_0-5_154;155;80;33;1;41;73.55
dll;test_3-5_0-3_98;155;68;30;1;56;63.87
dll;test_3-5_0-5_171;155;79;33;1;42;72.90
dll;test_3-5_0-0_16;155;85;34;3;33;78.71
dll;test_3-5_0-5_179;155;89;33;1;32;79.35
dll;test_3-5_0-7_227;155;91;35;3;26;83.23
dll;test_3-5_1-0_324;155;94;34;3;24;84.52
dll;test_3-5_0-8_242;155;79;30;1;45;70.97
dll;test_3-5_0-3_111;155;90;35;3;27;82.58
dll;test_3-5_0-6_207;155;78;35;3;39;74.84
dll;test_3-5_0-0_3;155;81;32;1;41;73.55
dll;test_3-5_0-0_22;155;87;35;3;30;80.65
dll;test_3-5_0-8_249;155;75;32;1;47;69.68
dll;test_3-5_0-7_232;155;91;35;3;26;83.23
dll;test_3-5_0-3_120;155;85;34;3;33;78.71
dll;test_3-5_0-9_299;155;81;33;3;38;75.48
dll;test_3-5_0-4_148;155;90;35;3;27;82.58
dll;test_3-5_1-0_305;155;81;35;3;36;76.77
dll;test_3-5_0-6_193;155;91;35;3;26;83.23
dll;test_3-5_0-5_168;155;94;34;3;24;84.52
dll;test_3-5_1-0_307;155;76;32;1;46;70.32
dll;test_3-5_0-1_54;155;79;34;3;39;74.84
dll;test_3-5_0-5_152;155;88;35;3;29;81.29
dll;test_3-5_0-5_160;155;75;31;1;48;69.03
dll;test_3-5_0-3_96;155;84;33;1;37;76.13
dll;test_3-5_0-6_199;155;78;34;3;40;74.19
dll;test_3-5_0-3_110;155;86;33;1;35;77.42
dll;test_3-5_0-6_184;155;92;35;3;25;83.87
dll;test_3-5_0-3_106;155;91;35;3;26;83.23
dll;test_3-5_0-2_82;155;91;35;3;26;83.23
dll;test_3-5_0-5_169;155;82;31;1;41;73.55
dll;test_3-5_0-1_31;155;90;35;3;27;82.58
dll;test_3-5_0-1_33;155;80;33;1;41;73.55
dll;test_3-5_0-7_231;155;87;34;3;31;80.00
dll;test_3-5_0-3_113;155;91;35;3;26;83.23
dll;test_3-5_0-9_281;155;94;34;3;24;84.52
dll;test_3-5_0-6_205;155;84;33;1;37;76.13
dll;test_3-5_1-0_327;155;90;35;3;27;82.58
dll;test_3-5_0-0_11;155;82;34;3;36;76.77
dll;test_3-5_0-1_43;155;91;35;3;26;83.23
dll;test_3-5_1-0_304;155;85;32;1;37;76.13
dll;test_3-5_0-7_228;155;79;33;1;42;72.90
dll;test_3-5_0-8_244;155;84;33;1;37;76.13
dll;test_3-5_0-5_164;155;91;35;3;26;83.23
dll;test_3-5_1-0_302;155;68;32;1;54;65.16
dll;test_3-5_0-4_122;155;81;32;1;41;73.55
dll;test_3-5_0-5_157;155;92;34;3;26;83.23
dll;test_3-5_0-4_145;155;79;30;1;45;70.97
dll;test_3-5_0-2_61;155;79;33;1;42;72.90
dll;test_3-5_1-0_316;155;80;32;1;42;72.90
dll;test_3-5_0-0_18;155;82;34;3;36;76.77
dll;test_3-5_0-2_75;155;80;33;1;41;73.55
dll;test_3-5_0-2_89;155;82;34;3;36;76.77
dll;test_3-5_0-9_289;155;79;33;1;42;72.90
dll;test_3-5_0-1_52;155;91;35;3;26;83.23
dll;test_3-5_0-6_208;155;91;35;3;26;83.23
dll;test_3-5_0-4_138;155;77;32;1;45;70.97
dll;test_3-5_0-8_241;155;82;31;1;41;73.55
dll;test_3-5_0-5_155;155;81;32;1;41;73.55
dll;test_3-5_0-1_47;155;89;34;3;29;81.29
dll;test_3-5_0-7_214;155;83;34;3;35;77.42
dll;test_3-5_0-0_27;155;82;34;3;36;76.77
dll;test_3-5_0-8_243;155;84;35;3;33;78.71
dll;test_3-5_0-8_267;155;82;33;1;39;74.84
dll;test_3-5_0-6_190;155;75;32;1;47;69.68
dll;test_3-5_0-5_166;155;90;32;3;30;80.65
dll;test_3-5_0-6_194;155;81;30;1;43;72.26
dll;test_3-5_0-9_296;155;70;33;1;51;67.10
dll;test_3-5_0-2_84;155;82;33;1;39;74.84
dll;test_3-5_0-1_35;155;82;34;3;36;76.77
dll;test_3-5_0-8_255;155;84;34;3;34;78.06
dll;test_3-5_1-0_303;155;96;34;3;22;85.81
dll;test_3-5_0-6_209;155;79;33;1;42;72.90
