project;test file;mutants;killed;incompetent;timeout;survived;mutation score
factorial;test_3-5_0-5_178;9;6;3;0;0;100.00
factorial;test_3-5_0-2_83;9;6;3;0;0;100.00
factorial;test_3-5_0-7_213;9;6;3;0;0;100.00
factorial;test_3-5_0-9_279;9;6;3;0;0;100.00
factorial;test_3-5_0-3_115;9;6;3;0;0;100.00
factorial;test_3-5_0-7_224;9;6;3;0;0;100.00
factorial;test_3-5_1-0_326;9;5;4;0;0;100.00
factorial;test_3-5_0-0_10;9;6;3;0;0;100.00
factorial;test_3-5_0-4_137;9;6;3;0;0;100.00
factorial;test_3-5_0-1_56;9;6;3;0;0;100.00
factorial;test_3-5_1-0_310;9;6;3;0;0;100.00
factorial;test_3-5_0-7_226;9;5;4;0;0;100.00
factorial;test_3-5_1-0_329;9;6;3;0;0;100.00
factorial;test_3-5_0-2_78;9;6;3;0;0;100.00
factorial;test_3-5_0-8_262;9;6;3;0;0;100.00
factorial;test_3-5_0-8_251;9;6;3;0;0;100.00
factorial;test_3-5_0-4_123;9;6;3;0;0;100.00
factorial;test_3-5_0-9_283;9;6;3;0;0;100.00
factorial;test_3-5_0-0_4;9;6;3;0;0;100.00
factorial;test_3-5_0-6_200;9;6;3;0;0;100.00
factorial;test_3-5_0-1_50;9;6;3;0;0;100.00
factorial;test_3-5_0-6_183;9;6;3;0;0;100.00
factorial;test_3-5_0-5_177;9;6;3;0;0;100.00
factorial;test_3-5_0-6_210;9;6;3;0;0;100.00
factorial;test_3-5_0-7_211;9;5;4;0;0;100.00
factorial;test_3-5_0-5_180;9;6;3;0;0;100.00
factorial;test_3-5_0-3_116;9;6;3;0;0;100.00
factorial;test_3-5_0-2_70;9;6;3;0;0;100.00
factorial;test_3-5_0-4_133;9;7;2;0;0;100.00
factorial;test_3-5_1-0_322;9;5;4;0;0;100.00
factorial;test_3-5_0-9_284;9;6;3;0;0;100.00
factorial;test_3-5_0-4_150;9;6;3;0;0;100.00
factorial;test_3-5_0-9_273;9;6;3;0;0;100.00
factorial;test_3-5_1-0_328;9;6;3;0;0;100.00
factorial;test_3-5_0-9_300;9;6;3;0;0;100.00
factorial;test_3-5_0-8_248;9;6;3;0;0;100.00
factorial;test_3-5_0-3_95;9;6;3;0;0;100.00
factorial;test_3-5_1-0_301;9;6;3;0;0;100.00
factorial;test_3-5_0-3_104;9;6;3;0;0;100.00
factorial;test_3-5_0-8_268;9;6;3;0;0;100.00
factorial;test_3-5_0-3_114;9;6;3;0;0;100.00
factorial;test_3-5_0-7_236;9;6;3;0;0;100.00
factorial;test_3-5_0-7_220;9;6;3;0;0;100.00
factorial;test_3-5_0-3_118;9;6;3;0;0;100.00
factorial;test_3-5_0-1_48;9;6;3;0;0;100.00
factorial;test_3-5_0-0_5;9;6;3;0;0;100.00
factorial;test_3-5_0-3_91;9;7;2;0;0;100.00
factorial;test_3-5_0-5_176;9;7;2;0;0;100.00
factorial;test_3-5_0-2_90;9;6;3;0;0;100.00
factorial;test_3-5_0-6_185;9;6;3;0;0;100.00
factorial;test_3-5_0-8_250;9;6;3;0;0;100.00
factorial;test_3-5_0-8_259;9;4;5;0;0;100.00
factorial;test_3-5_0-7_225;9;7;2;0;0;100.00
factorial;test_3-5_0-4_130;9;6;3;0;0;100.00
factorial;test_3-5_0-8_253;9;6;3;0;0;100.00
factorial;test_3-5_1-0_314;9;7;2;0;0;100.00
factorial;test_3-5_0-1_45;9;6;3;0;0;100.00
factorial;test_3-5_0-9_293;9;6;3;0;0;100.00
factorial;test_3-5_0-2_77;9;6;3;0;0;100.00
factorial;test_3-5_0-0_17;9;6;3;0;0;100.00
factorial;test_3-5_0-4_143;9;5;4;0;0;100.00
factorial;test_3-5_1-0_312;9;6;3;0;0;100.00
factorial;test_3-5_0-4_121;9;5;4;0;0;100.00
factorial;test_3-5_1-0_319;9;6;3;0;0;100.00
factorial;test_3-5_0-9_297;9;6;3;0;0;100.00
factorial;test_3-5_0-6_203;9;5;4;0;0;100.00
factorial;test_3-5_0-6_181;9;6;3;0;0;100.00
factorial;test_3-5_0-9_292;9;6;3;0;0;100.00
