project;test file;mutants;killed;incompetent;timeout;survived;mutation score
fenwick;test_3-5_0-3_91;63;44;14;4;1;98.41
fenwick;test_3-5_1-0_319;63;43;15;4;1;98.41
fenwick;test_3-5_0-5_151;63;44;14;4;1;98.41
fenwick;test_3-5_0-2_81;63;43;14;4;2;96.83
fenwick;test_3-5_0-3_103;63;44;14;4;1;98.41
fenwick;test_3-5_0-6_201;63;44;14;4;1;98.41
fenwick;test_3-5_0-4_146;63;44;14;4;1;98.41
fenwick;test_3-5_0-7_235;63;44;14;4;1;98.41
fenwick;test_3-5_0-5_170;63;44;14;4;1;98.41
fenwick;test_3-5_1-0_311;63;44;14;4;1;98.41
fenwick;test_3-5_0-1_47;63;44;14;4;1;98.41
