project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
fibonacci;test_3-5_0-5_178;88;88;0;88;0;100.00
fibonacci;test_3-5_0-2_83;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_213;88;87;0;87;1;98.86
fibonacci;test_3-5_0-9_279;88;88;0;88;0;100.00
fibonacci;test_3-5_0-3_115;88;86;0;86;2;97.73
fibonacci;test_3-5_0-7_224;88;84;0;84;4;95.45
fibonacci;test_3-5_1-0_326;88;88;0;88;0;100.00
fibonacci;test_3-5_0-0_10;88;88;0;88;0;100.00
fibonacci;test_3-5_0-4_137;88;88;0;88;0;100.00
fibonacci;test_3-5_0-1_56;88;86;0;86;2;97.73
fibonacci;test_3-5_0-8_257;88;87;0;87;1;98.86
fibonacci;test_3-5_1-0_310;88;86;0;86;2;97.73
fibonacci;test_3-5_0-7_226;88;86;0;86;2;97.73
fibonacci;test_3-5_1-0_329;88;85;0;85;3;96.59
fibonacci;test_3-5_0-2_78;88;88;0;88;0;100.00
fibonacci;test_3-5_0-8_262;88;86;0;86;2;97.73
fibonacci;test_3-5_0-8_251;88;86;0;86;2;97.73
fibonacci;test_3-5_0-4_123;88;87;0;87;1;98.86
fibonacci;test_3-5_0-9_283;88;86;0;86;2;97.73
fibonacci;test_3-5_0-0_4;88;88;0;88;0;100.00
fibonacci;test_3-5_0-6_200;88;86;0;86;2;97.73
fibonacci;test_3-5_0-1_50;88;85;0;85;3;96.59
fibonacci;test_3-5_0-6_183;88;85;0;85;3;96.59
fibonacci;test_3-5_0-5_177;88;88;0;88;0;100.00
fibonacci;test_3-5_0-6_210;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_211;88;88;0;88;0;100.00
fibonacci;test_3-5_0-5_180;88;85;0;85;3;96.59
fibonacci;test_3-5_0-3_116;88;86;0;86;2;97.73
fibonacci;test_3-5_0-2_70;88;88;0;88;0;100.00
fibonacci;test_3-5_0-4_133;88;87;0;87;1;98.86
fibonacci;test_3-5_1-0_322;88;87;0;87;1;98.86
fibonacci;test_3-5_0-9_284;88;88;0;88;0;100.00
fibonacci;test_3-5_0-4_150;88;87;0;87;1;98.86
fibonacci;test_3-5_0-9_273;88;88;0;88;0;100.00
fibonacci;test_3-5_1-0_328;88;85;0;85;3;96.59
fibonacci;test_3-5_0-9_300;88;86;0;86;2;97.73
fibonacci;test_3-5_0-8_248;88;86;0;86;2;97.73
fibonacci;test_3-5_0-3_95;88;86;0;86;2;97.73
fibonacci;test_3-5_1-0_301;88;87;0;87;1;98.86
fibonacci;test_3-5_0-3_104;88;88;0;88;0;100.00
fibonacci;test_3-5_0-8_268;88;87;0;87;1;98.86
fibonacci;test_3-5_0-3_114;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_236;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_220;88;88;0;88;0;100.00
fibonacci;test_3-5_0-3_118;88;88;0;88;0;100.00
fibonacci;test_3-5_0-1_48;88;88;0;88;0;100.00
fibonacci;test_3-5_0-0_5;88;88;0;88;0;100.00
fibonacci;test_3-5_0-3_91;88;88;0;88;0;100.00
fibonacci;test_3-5_0-5_176;88;88;0;88;0;100.00
fibonacci;test_3-5_0-2_90;88;88;0;88;0;100.00
fibonacci;test_3-5_0-6_185;88;84;0;84;4;95.45
fibonacci;test_3-5_0-8_250;88;85;0;85;3;96.59
fibonacci;test_3-5_0-8_259;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_225;88;85;0;85;3;96.59
fibonacci;test_3-5_0-4_130;88;88;0;88;0;100.00
fibonacci;test_3-5_0-8_253;88;85;0;85;3;96.59
fibonacci;test_3-5_1-0_314;88;87;0;87;1;98.86
fibonacci;test_3-5_0-1_45;88;86;0;86;2;97.73
fibonacci;test_3-5_0-9_293;88;87;0;87;1;98.86
fibonacci;test_3-5_0-2_77;88;87;0;87;1;98.86
fibonacci;test_3-5_0-0_17;88;88;0;88;0;100.00
fibonacci;test_3-5_0-4_143;88;86;0;86;2;97.73
fibonacci;test_3-5_1-0_312;88;87;0;87;1;98.86
fibonacci;test_3-5_0-4_121;88;88;0;88;0;100.00
fibonacci;test_3-5_1-0_319;88;88;0;88;0;100.00
fibonacci;test_3-5_0-9_297;88;86;0;86;2;97.73
fibonacci;test_3-5_0-6_203;88;86;0;86;2;97.73
fibonacci;test_3-5_0-6_181;88;88;0;88;0;100.00
fibonacci;test_3-5_0-7_222;88;86;0;86;2;97.73
fibonacci;test_3-5_0-9_294;88;85;0;85;3;96.59
