project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
first-missing-positive;test_3-5_0-5_178;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-2_83;84;62;13;75;9;89.29
first-missing-positive;test_3-5_0-9_279;84;66;13;79;5;94.05
first-missing-positive;test_3-5_0-4_137;84;66;10;76;8;90.48
first-missing-positive;test_3-5_0-8_257;84;63;12;75;9;89.29
first-missing-positive;test_3-5_1-0_329;84;57;9;66;18;78.57
first-missing-positive;test_3-5_0-1_50;84;70;9;79;5;94.05
first-missing-positive;test_3-5_0-6_210;84;59;13;72;12;85.71
first-missing-positive;test_3-5_0-3_116;84;69;9;78;6;92.86
first-missing-positive;test_3-5_1-0_328;84;62;13;75;9;89.29
first-missing-positive;test_3-5_0-9_300;84;56;13;69;15;82.14
first-missing-positive;test_3-5_1-0_301;84;68;11;79;5;94.05
first-missing-positive;test_3-5_0-3_114;84;60;12;72;12;85.71
first-missing-positive;test_3-5_0-5_176;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-4_130;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-7_222;84;67;9;76;8;90.48
first-missing-positive;test_3-5_0-2_67;84;64;13;77;7;91.67
first-missing-positive;test_3-5_0-6_196;84;53;13;66;18;78.57
first-missing-positive;test_3-5_1-0_317;84;59;9;68;16;80.95
first-missing-positive;test_3-5_0-7_227;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-4_139;84;57;12;69;15;82.14
first-missing-positive;test_3-5_0-0_23;84;62;13;75;9;89.29
first-missing-positive;test_3-5_0-8_254;84;63;12;75;9;89.29
first-missing-positive;test_3-5_0-6_207;84;57;12;69;15;82.14
first-missing-positive;test_3-5_0-9_287;84;68;10;78;6;92.86
first-missing-positive;test_3-5_0-8_264;84;66;10;76;8;90.48
first-missing-positive;test_3-5_0-0_3;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-7_212;84;60;13;73;11;86.90
first-missing-positive;test_3-5_0-9_299;84;64;13;77;7;91.67
first-missing-positive;test_3-5_0-4_148;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-3_112;84;64;12;76;8;90.48
first-missing-positive;test_3-5_1-0_305;84;57;13;70;14;83.33
first-missing-positive;test_3-5_0-7_238;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-3_107;84;63;12;75;9;89.29
first-missing-positive;test_3-5_0-2_81;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-7_229;84;62;13;75;9;89.29
first-missing-positive;test_3-5_0-3_96;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-8_266;75;58;10;68;7;90.67
first-missing-positive;test_3-5_0-1_49;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-6_201;84;56;9;65;19;77.38
first-missing-positive;test_3-5_0-5_169;84;68;10;78;6;92.86
first-missing-positive;test_3-5_1-0_323;84;57;13;70;14;83.33
first-missing-positive;test_3-5_0-3_92;84;69;9;78;6;92.86
first-missing-positive;test_3-5_0-7_231;84;57;12;69;15;82.14
first-missing-positive;test_3-5_1-0_325;84;67;9;76;8;90.48
first-missing-positive;test_3-5_0-0_25;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-1_53;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-0_29;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-5_161;84;69;9;78;6;92.86
first-missing-positive;test_3-5_0-9_291;84;65;13;78;6;92.86
first-missing-positive;test_3-5_0-7_239;84;61;13;74;10;88.10
first-missing-positive;test_3-5_0-2_62;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-0_11;84;66;10;76;8;90.48
first-missing-positive;test_3-5_0-1_43;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-9_298;84;57;9;66;18;78.57
first-missing-positive;test_3-5_0-2_76;84;61;13;74;10;88.10
first-missing-positive;test_3-5_0-2_61;84;60;13;73;11;86.90
first-missing-positive;test_3-5_0-7_218;84;66;9;75;9;89.29
first-missing-positive;test_3-5_0-4_124;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-0_18;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-1_60;84;61;13;74;10;88.10
first-missing-positive;test_3-5_0-0_30;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-2_89;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-7_237;84;56;9;65;19;77.38
first-missing-positive;test_3-5_0-1_32;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-2_68;84;60;12;72;12;85.71
first-missing-positive;test_3-5_0-7_240;84;68;9;77;7;91.67
first-missing-positive;test_3-5_0-4_132;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-9_286;84;66;12;78;6;92.86
first-missing-positive;test_3-5_0-1_57;84;64;12;76;8;90.48
first-missing-positive;test_3-5_0-6_198;84;64;13;77;7;91.67
first-missing-positive;test_3-5_0-2_66;84;66;10;76;8;90.48
first-missing-positive;test_3-5_0-1_55;84;66;10;76;8;90.48
first-missing-positive;test_3-5_0-6_194;84;68;9;77;7;91.67
first-missing-positive;test_3-5_0-2_69;84;63;13;76;8;90.48
first-missing-positive;test_3-5_0-9_296;84;60;12;72;12;85.71
first-missing-positive;test_3-5_0-2_84;84;70;9;79;5;94.05
first-missing-positive;test_3-5_0-9_295;84;63;14;77;7;91.67
first-missing-positive;test_3-5_0-3_102;84;67;10;77;7;91.67
first-missing-positive;test_3-5_0-0_21;84;58;9;67;17;79.76
first-missing-positive;test_3-5_0-7_234;84;57;13;70;14;83.33
first-missing-positive;test_3-5_0-0_24;84;63;13;76;8;90.48
first-missing-positive;test_3-5_1-0_306;84;70;9;79;5;94.05
