project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
fizz-buzz;test_3-5_0-5_178;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_83;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_213;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_279;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_115;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_224;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_326;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_10;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_137;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_56;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_257;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_310;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_226;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_329;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_78;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_262;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_251;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_123;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_283;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_4;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_200;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_50;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_183;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_177;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_210;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_211;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_180;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_116;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_70;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_133;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_322;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_150;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_284;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_273;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_328;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_300;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_248;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_95;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_301;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_104;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_268;69;66;0;66;3;95.65
fizz-buzz;test_3-5_0-3_114;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_236;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_220;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_118;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_48;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_5;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_91;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_176;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_90;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_185;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_250;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_259;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_225;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_130;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_253;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_314;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_45;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_293;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_77;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_17;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_143;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_312;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_121;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_319;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_297;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_203;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_181;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_292;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_222;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_294;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_233;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_308;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_223;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_46;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_67;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_196;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_172;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_154;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_98;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_171;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_16;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_317;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_179;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_321;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-1_36;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_252;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_227;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_139;69;67;0;67;2;97.10
fizz-buzz;test_3-5_1-0_324;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_175;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_242;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_111;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_23;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_254;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-5_165;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-6_207;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_287;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_264;69;65;0;65;4;94.20
fizz-buzz;test_3-5_0-6_197;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_3;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-2_87;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_230;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_272;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-0_22;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-8_249;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-4_127;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_232;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-3_120;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-9_299;69;67;0;67;2;97.10
fizz-buzz;test_3-5_0-7_217;69;67;0;67;2;97.10
