project;test file;mutants;killed;incompetent;timeout;survived;mutation score
fizz-buzz;test_3-5_0-5_178;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-2_83;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-7_213;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-9_279;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-3_115;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-7_224;8;7;1;0;0;100.00
fizz-buzz;test_3-5_1-0_326;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-0_10;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-4_137;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-1_56;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-8_257;8;7;1;0;0;100.00
fizz-buzz;test_3-5_1-0_310;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-7_226;8;7;1;0;0;100.00
fizz-buzz;test_3-5_1-0_329;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-2_78;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-8_262;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-8_251;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-4_123;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-9_283;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-0_4;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-6_200;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-1_50;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-6_183;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-5_177;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-6_210;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-7_211;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-5_180;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-3_116;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-2_70;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-4_133;8;7;1;0;0;100.00
fizz-buzz;test_3-5_1-0_322;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-5_150;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-9_284;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-9_273;8;7;1;0;0;100.00
fizz-buzz;test_3-5_1-0_328;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-9_300;8;7;1;0;0;100.00
fizz-buzz;test_3-5_0-8_248;8;7;1;0;0;100.00
