project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
graph1;test_3-5_0-2_83;98;36;0;36;62;36.73
graph1;test_3-5_0-7_224;98;56;0;56;42;57.14
graph1;test_3-5_0-0_10;98;58;0;58;40;59.18
graph1;test_3-5_0-1_56;98;62;0;62;36;63.27
graph1;test_3-5_0-8_257;98;65;0;65;33;66.33
graph1;test_3-5_1-0_310;98;88;0;88;10;89.80
graph1;test_3-5_0-8_262;98;58;0;58;40;59.18
graph1;test_3-5_0-4_123;98;65;0;65;33;66.33
graph1;test_3-5_0-6_200;98;63;0;63;35;64.29
graph1;test_3-5_0-7_211;98;88;0;88;10;89.80
graph1;test_3-5_0-5_180;98;56;0;56;42;57.14
graph1;test_3-5_0-3_114;98;37;0;37;61;37.76
graph1;test_3-5_0-0_5;98;66;0;66;32;67.35
graph1;test_3-5_0-2_90;98;80;0;80;18;81.63
graph1;test_3-5_0-8_259;98;63;0;63;35;64.29
graph1;test_3-5_0-8_253;98;37;0;37;61;37.76
graph1;test_3-5_0-1_45;98;58;0;58;40;59.18
graph1;test_3-5_0-9_293;98;86;0;86;12;87.76
graph1;test_3-5_0-9_297;98;85;0;85;13;86.73
graph1;test_3-5_0-6_203;98;37;0;37;61;37.76
graph1;test_3-5_0-6_181;98;56;0;56;42;57.14
graph1;test_3-5_0-1_46;98;58;0;58;40;59.18
graph1;test_3-5_0-5_154;98;88;0;88;10;89.80
graph1;test_3-5_0-7_227;98;42;0;42;56;42.86
graph1;test_3-5_0-8_254;98;58;0;58;40;59.18
graph1;test_3-5_0-6_207;98;52;0;52;46;53.06
graph1;test_3-5_0-9_287;98;58;0;58;40;59.18
graph1;test_3-5_0-2_87;98;39;0;39;59;39.80
graph1;test_3-5_0-0_22;98;57;0;57;41;58.16
graph1;test_3-5_0-8_249;98;59;0;59;39;60.20
graph1;test_3-5_0-7_212;98;55;0;55;43;56.12
graph1;test_3-5_0-0_20;98;80;0;80;18;81.63
graph1;test_3-5_0-4_148;98;40;0;40;58;40.82
graph1;test_3-5_0-5_151;98;39;0;39;59;39.80
graph1;test_3-5_0-3_108;98;37;0;37;61;37.76
graph1;test_3-5_0-3_112;98;88;0;88;10;89.80
graph1;test_3-5_0-3_107;98;56;0;56;42;57.14
graph1;test_3-5_0-0_8;98;88;0;88;10;89.80
graph1;test_3-5_0-1_54;98;57;0;57;41;58.16
graph1;test_3-5_0-8_260;98;29;0;29;69;29.59
graph1;test_3-5_0-3_103;98;57;0;57;41;58.16
graph1;test_3-5_0-4_142;98;65;0;65;33;66.33
graph1;test_3-5_1-0_309;98;66;0;66;32;67.35
graph1;test_3-5_0-5_163;98;42;0;42;56;42.86
graph1;test_3-5_0-5_169;98;88;0;88;10;89.80
graph1;test_3-5_0-4_146;98;59;0;59;39;60.20
graph1;test_3-5_0-0_28;98;57;0;57;41;58.16
graph1;test_3-5_0-7_235;98;66;0;66;32;67.35
graph1;test_3-5_1-0_325;98;57;0;57;41;58.16
graph1;test_3-5_0-1_53;98;55;0;55;43;56.12
graph1;test_3-5_1-0_311;98;66;0;66;32;67.35
graph1;test_3-5_0-6_205;98;64;0;64;34;65.31
graph1;test_3-5_1-0_327;98;53;0;53;45;54.08
graph1;test_3-5_0-0_7;98;57;0;57;41;58.16
graph1;test_3-5_0-4_135;98;58;0;58;40;59.18
graph1;test_3-5_0-9_298;98;58;0;58;40;59.18
graph1;test_3-5_0-8_256;98;65;0;65;33;66.33
graph1;test_3-5_1-0_302;98;63;0;63;35;64.29
graph1;test_3-5_0-7_221;98;39;0;39;59;39.80
graph1;test_3-5_0-7_218;98;66;0;66;32;67.35
graph1;test_3-5_0-0_12;98;58;0;58;40;59.18
graph1;test_3-5_0-0_26;98;88;0;88;10;89.80
graph1;test_3-5_0-1_60;98;80;0;80;18;81.63
graph1;test_3-5_0-1_58;98;58;0;58;40;59.18
graph1;test_3-5_0-6_192;98;54;0;54;44;55.10
graph1;test_3-5_0-4_138;98;37;0;37;61;37.76
graph1;test_3-5_0-1_47;98;58;0;58;40;59.18
graph1;test_3-5_0-1_39;98;56;0;56;42;57.14
graph1;test_3-5_0-1_59;98;42;0;42;56;42.86
graph1;test_3-5_0-2_88;98;66;0;66;32;67.35
graph1;test_3-5_0-8_243;98;66;0;66;32;67.35
graph1;test_3-5_0-9_277;98;56;0;56;42;57.14
graph1;test_3-5_0-9_286;98;33;0;33;65;33.67
graph1;test_3-5_0-8_267;98;33;0;33;65;33.67
graph1;test_3-5_0-6_189;98;66;0;66;32;67.35
graph1;test_3-5_0-5_153;98;58;0;58;40;59.18
graph1;test_3-5_0-5_166;98;88;0;88;10;89.80
graph1;test_3-5_0-5_156;98;66;0;66;32;67.35
graph1;test_3-5_0-2_74;98;56;0;56;42;57.14
graph1;test_3-5_0-0_19;98;37;0;37;61;37.76
graph1;test_3-5_0-0_15;98;57;0;57;41;58.16
graph1;test_3-5_0-7_234;98;65;0;65;33;66.33
graph1;test_3-5_0-8_246;98;37;0;37;61;37.76
graph1;test_3-5_0-1_38;98;56;0;56;42;57.14
