project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
hashmap;test_3-5_0-7_213;173;63;3;66;107;38.15
hashmap;test_3-5_0-9_279;173;149;5;154;19;89.02
hashmap;test_3-5_0-3_115;173;149;5;154;19;89.02
hashmap;test_3-5_0-7_224;173;156;6;162;11;93.64
hashmap;test_3-5_0-8_257;173;63;1;64;109;36.99
hashmap;test_3-5_1-0_310;173;157;5;162;11;93.64
hashmap;test_3-5_1-0_329;173;156;6;162;11;93.64
hashmap;test_3-5_0-6_200;173;157;5;162;11;93.64
hashmap;test_3-5_0-5_177;173;153;5;158;15;91.33
hashmap;test_3-5_0-6_210;173;157;5;162;11;93.64
hashmap;test_3-5_0-5_180;173;157;5;162;11;93.64
hashmap;test_3-5_0-3_116;173;157;5;162;11;93.64
hashmap;test_3-5_0-2_70;173;149;5;154;19;89.02
hashmap;test_3-5_1-0_322;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_284;173;155;5;160;13;92.49
hashmap;test_3-5_0-9_273;173;149;5;154;19;89.02
hashmap;test_3-5_1-0_328;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_300;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_248;173;149;5;154;19;89.02
hashmap;test_3-5_0-8_268;173;156;6;162;11;93.64
hashmap;test_3-5_0-7_220;173;149;5;154;19;89.02
hashmap;test_3-5_0-3_91;173;149;5;154;19;89.02
hashmap;test_3-5_0-8_259;173;51;0;51;122;29.48
hashmap;test_3-5_1-0_314;173;81;8;89;84;51.45
hashmap;test_3-5_1-0_312;173;156;5;161;12;93.06
hashmap;test_3-5_0-9_297;173;157;5;162;11;93.64
hashmap;test_3-5_0-6_203;173;149;5;154;19;89.02
hashmap;test_3-5_0-6_181;173;156;6;162;11;93.64
hashmap;test_3-5_0-9_292;173;77;6;83;90;47.98
hashmap;test_3-5_0-7_223;173;69;5;74;99;42.77
hashmap;test_3-5_0-5_172;173;157;5;162;11;93.64
hashmap;test_3-5_0-5_179;173;149;5;154;19;89.02
hashmap;test_3-5_1-0_321;173;69;6;75;98;43.35
hashmap;test_3-5_0-4_139;173;157;5;162;11;93.64
hashmap;test_3-5_1-0_324;173;157;5;162;11;93.64
hashmap;test_3-5_0-0_23;173;157;5;162;11;93.64
hashmap;test_3-5_0-5_165;173;145;5;150;23;86.71
hashmap;test_3-5_0-6_207;173;158;4;162;11;93.64
hashmap;test_3-5_0-0_3;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_272;173;157;5;162;11;93.64
hashmap;test_3-5_0-4_127;173;155;6;161;12;93.06
hashmap;test_3-5_0-7_232;173;156;6;162;11;93.64
hashmap;test_3-5_0-5_151;173;156;6;162;11;93.64
hashmap;test_3-5_0-3_112;173;158;4;162;11;93.64
hashmap;test_3-5_1-0_305;173;149;5;154;19;89.02
hashmap;test_3-5_0-7_238;173;156;6;162;11;93.64
hashmap;test_3-5_0-9_285;173;84;5;89;84;51.45
hashmap;test_3-5_0-5_167;173;150;4;154;19;89.02
hashmap;test_3-5_0-2_81;173;149;5;154;19;89.02
hashmap;test_3-5_0-0_8;173;157;5;162;11;93.64
hashmap;test_3-5_0-4_125;173;157;5;162;11;93.64
hashmap;test_3-5_1-0_307;173;157;5;162;11;93.64
hashmap;test_3-5_0-5_152;173;149;5;154;19;89.02
hashmap;test_3-5_0-8_260;173;158;4;162;11;93.64
hashmap;test_3-5_0-4_142;173;156;6;162;11;93.64
hashmap;test_3-5_0-5_160;173;149;5;154;19;89.02
hashmap;test_3-5_0-7_215;173;69;5;74;99;42.77
hashmap;test_3-5_1-0_309;173;150;4;154;19;89.02
hashmap;test_3-5_0-2_64;173;158;4;162;11;93.64
hashmap;test_3-5_0-3_110;173;158;4;162;11;93.64
hashmap;test_3-5_0-8_266;173;81;6;87;86;50.29
hashmap;test_3-5_0-6_184;173;69;5;74;99;42.77
hashmap;test_3-5_0-7_216;173;156;6;162;11;93.64
hashmap;test_3-5_0-6_204;173;149;5;154;19;89.02
hashmap;test_3-5_0-1_40;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_258;173;69;5;74;99;42.77
hashmap;test_3-5_0-6_195;173;148;6;154;19;89.02
hashmap;test_3-5_0-8_265;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_270;173;151;5;156;17;90.17
hashmap;test_3-5_0-6_188;173;149;5;154;19;89.02
hashmap;test_3-5_0-0_25;173;149;5;154;19;89.02
hashmap;test_3-5_0-3_113;173;149;5;154;19;89.02
hashmap;test_3-5_0-6_182;173;145;5;150;23;86.71
hashmap;test_3-5_1-0_311;173;157;5;162;11;93.64
hashmap;test_3-5_0-9_275;173;156;6;162;11;93.64
hashmap;test_3-5_0-9_281;173;91;6;97;76;56.07
hashmap;test_3-5_0-6_205;173;157;5;162;11;93.64
hashmap;test_3-5_0-9_271;173;149;5;154;19;89.02
hashmap;test_3-5_0-8_263;173;150;4;154;19;89.02
hashmap;test_3-5_0-0_11;173;157;5;162;11;93.64
hashmap;test_3-5_0-9_290;173;149;5;154;19;89.02
hashmap;test_3-5_0-1_43;173;149;5;154;19;89.02
hashmap;test_3-5_0-1_44;173;157;5;162;11;93.64
hashmap;test_3-5_0-2_76;173;149;5;154;19;89.02
hashmap;test_3-5_0-7_228;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_256;173;68;6;74;99;42.77
hashmap;test_3-5_0-5_164;173;157;5;162;11;93.64
hashmap;test_3-5_1-0_302;173;148;6;154;19;89.02
hashmap;test_3-5_0-4_122;173;156;6;162;11;93.64
hashmap;test_3-5_0-7_218;173;63;3;66;107;38.15
hashmap;test_3-5_0-4_140;173;157;5;162;11;93.64
hashmap;test_3-5_0-4_124;173;149;5;154;19;89.02
hashmap;test_3-5_0-0_18;173;149;5;154;19;89.02
hashmap;test_3-5_0-0_26;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_274;173;157;5;162;11;93.64
hashmap;test_3-5_0-4_128;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_289;173;87;8;95;78;54.91
hashmap;test_3-5_0-9_278;173;157;5;162;11;93.64
hashmap;test_3-5_0-6_208;173;157;5;162;11;93.64
hashmap;test_3-5_0-1_32;173;157;5;162;11;93.64
hashmap;test_3-5_0-6_192;173;149;5;154;19;89.02
hashmap;test_3-5_0-5_155;173;157;5;162;11;93.64
hashmap;test_3-5_0-1_39;173;149;5;154;19;89.02
hashmap;test_3-5_0-7_240;173;149;5;154;19;89.02
hashmap;test_3-5_0-8_243;173;68;5;73;100;42.20
hashmap;test_3-5_0-9_282;173;51;0;51;122;29.48
hashmap;test_3-5_0-9_280;173;148;6;154;19;89.02
hashmap;test_3-5_0-4_129;173;69;5;74;99;42.77
hashmap;test_3-5_0-9_286;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_267;173;77;6;83;90;47.98
hashmap;test_3-5_0-6_189;173;155;7;162;11;93.64
hashmap;test_3-5_0-1_34;173;149;5;154;19;89.02
hashmap;test_3-5_0-6_190;173;76;5;81;92;46.82
hashmap;test_3-5_0-5_162;173;149;5;154;19;89.02
hashmap;test_3-5_0-2_65;173;149;5;154;19;89.02
hashmap;test_3-5_0-5_156;173;149;5;154;19;89.02
hashmap;test_3-5_0-6_194;173;76;5;81;92;46.82
hashmap;test_3-5_0-2_69;173;157;5;162;11;93.64
hashmap;test_3-5_0-2_72;173;149;5;154;19;89.02
hashmap;test_3-5_0-9_276;173;92;8;100;73;57.80
hashmap;test_3-5_0-0_19;173;157;5;162;11;93.64
hashmap;test_3-5_0-8_245;173;69;5;74;99;42.77
hashmap;test_3-5_0-8_255;173;151;5;156;17;90.17
hashmap;test_3-5_0-8_246;173;153;5;158;15;91.33
hashmap;test_3-5_1-0_330;173;77;8;85;88;49.13
hashmap;test_3-5_0-0_2;173;149;5;154;19;89.02
hashmap;test_3-5_1-0_303;173;150;4;154;19;89.02
hashmap;test_3-5_0-8_247;173;149;5;154;19;89.02
hashmap;test_3-5_0-6_209;173;149;5;154;19;89.02
