project;test file;mutants;killed;incompetent;timeout;survived;mutation score
hashmap;test_3-5_0-7_213;76;37;10;0;29;61.84
hashmap;test_3-5_0-9_279;76;56;10;0;10;86.84
hashmap;test_3-5_0-3_115;76;57;9;0;10;86.84
hashmap;test_3-5_0-7_224;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_257;76;37;10;0;29;61.84
hashmap;test_3-5_1-0_310;76;61;9;0;6;92.11
hashmap;test_3-5_1-0_329;76;61;9;0;6;92.11
hashmap;test_3-5_0-6_200;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_177;76;61;9;0;6;92.11
hashmap;test_3-5_0-6_210;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_180;76;61;9;0;6;92.11
hashmap;test_3-5_0-3_116;76;61;9;0;6;92.11
hashmap;test_3-5_0-2_70;76;57;9;0;10;86.84
hashmap;test_3-5_1-0_322;76;57;9;0;10;86.84
hashmap;test_3-5_0-9_284;76;61;9;0;6;92.11
hashmap;test_3-5_0-9_273;76;57;9;0;10;86.84
hashmap;test_3-5_1-0_328;76;57;9;0;10;86.84
hashmap;test_3-5_0-9_300;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_248;76;57;9;0;10;86.84
hashmap;test_3-5_0-8_268;76;61;9;0;6;92.11
hashmap;test_3-5_0-7_220;76;57;9;0;10;86.84
hashmap;test_3-5_0-3_91;76;57;9;0;10;86.84
hashmap;test_3-5_0-8_259;76;32;9;0;35;53.95
hashmap;test_3-5_1-0_314;76;43;9;0;24;68.42
hashmap;test_3-5_1-0_312;76;61;9;0;6;92.11
hashmap;test_3-5_0-9_297;76;61;9;0;6;92.11
hashmap;test_3-5_0-6_203;76;57;9;0;10;86.84
hashmap;test_3-5_0-6_181;76;61;9;0;6;92.11
hashmap;test_3-5_0-9_292;76;42;9;0;25;67.11
hashmap;test_3-5_0-7_223;76;35;12;0;29;61.84
hashmap;test_3-5_0-5_172;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_179;76;57;9;0;10;86.84
hashmap;test_3-5_1-0_321;76;35;12;0;29;61.84
hashmap;test_3-5_0-4_139;76;61;9;0;6;92.11
hashmap;test_3-5_1-0_324;76;61;9;0;6;92.11
hashmap;test_3-5_0-0_23;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_165;76;57;9;0;10;86.84
hashmap;test_3-5_0-6_207;76;61;9;0;6;92.11
hashmap;test_3-5_0-0_3;76;57;9;0;10;86.84
hashmap;test_3-5_0-9_272;76;61;9;0;6;92.11
hashmap;test_3-5_0-4_127;76;61;9;0;6;92.11
hashmap;test_3-5_0-7_232;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_151;76;61;9;0;6;92.11
hashmap;test_3-5_0-3_112;76;61;9;0;6;92.11
hashmap;test_3-5_1-0_305;76;57;9;0;10;86.84
hashmap;test_3-5_0-7_238;76;61;9;0;6;92.11
hashmap;test_3-5_0-9_285;76;43;9;0;24;68.42
hashmap;test_3-5_0-5_167;76;57;9;0;10;86.84
hashmap;test_3-5_0-2_81;76;57;9;0;10;86.84
hashmap;test_3-5_0-0_8;76;61;9;0;6;92.11
hashmap;test_3-5_0-4_125;76;61;9;0;6;92.11
hashmap;test_3-5_1-0_307;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_152;76;57;9;0;10;86.84
hashmap;test_3-5_0-8_260;76;61;9;0;6;92.11
hashmap;test_3-5_0-4_142;76;61;9;0;6;92.11
hashmap;test_3-5_0-5_160;76;57;9;0;10;86.84
hashmap;test_3-5_0-7_215;76;35;12;0;29;61.84
hashmap;test_3-5_1-0_309;76;32;9;0;35;53.95
hashmap;test_3-5_0-2_64;76;61;9;0;6;92.11
hashmap;test_3-5_0-3_110;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_266;76;38;9;0;29;61.84
hashmap;test_3-5_0-6_184;76;35;12;0;29;61.84
hashmap;test_3-5_0-7_216;76;61;9;0;6;92.11
hashmap;test_3-5_0-6_204;76;57;9;0;10;86.84
