project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
linked-list1;test_3-5_1-0_326;44;35;6;41;3;93.18
linked-list1;test_3-5_0-0_10;44;25;8;33;11;75.00
linked-list1;test_3-5_0-4_137;44;25;5;30;14;68.18
linked-list1;test_3-5_0-1_56;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_310;44;36;5;41;3;93.18
linked-list1;test_3-5_0-7_226;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_78;44;25;8;33;11;75.00
linked-list1;test_3-5_0-8_262;44;25;11;36;8;81.82
linked-list1;test_3-5_0-9_283;44;25;8;33;11;75.00
linked-list1;test_3-5_0-0_4;44;25;8;33;11;75.00
linked-list1;test_3-5_0-6_200;44;8;0;8;36;18.18
linked-list1;test_3-5_0-1_50;44;25;8;33;11;75.00
linked-list1;test_3-5_0-6_183;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_177;44;28;5;33;11;75.00
linked-list1;test_3-5_0-6_210;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_180;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_116;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_70;44;25;8;33;11;75.00
linked-list1;test_3-5_0-4_133;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_322;44;25;8;33;11;75.00
linked-list1;test_3-5_0-9_273;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_328;44;25;8;33;11;75.00
linked-list1;test_3-5_0-8_248;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_95;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_301;44;28;5;33;11;75.00
linked-list1;test_3-5_0-8_268;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_114;44;25;8;33;11;75.00
linked-list1;test_3-5_0-7_220;44;25;5;30;14;68.18
linked-list1;test_3-5_0-0_5;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_91;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_90;44;25;8;33;11;75.00
linked-list1;test_3-5_0-6_185;44;25;5;30;14;68.18
linked-list1;test_3-5_0-7_225;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_314;44;17;1;18;26;40.91
linked-list1;test_3-5_0-1_45;44;25;8;33;11;75.00
linked-list1;test_3-5_0-9_293;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_77;44;25;8;33;11;75.00
linked-list1;test_3-5_0-0_17;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_312;44;31;9;40;4;90.91
linked-list1;test_3-5_0-4_121;44;25;9;34;10;77.27
linked-list1;test_3-5_0-6_203;44;28;5;33;11;75.00
linked-list1;test_3-5_0-6_181;44;25;8;33;11;75.00
linked-list1;test_3-5_0-7_222;44;25;8;33;11;75.00
linked-list1;test_3-5_0-9_294;44;28;4;32;12;72.73
linked-list1;test_3-5_1-0_308;44;25;8;33;11;75.00
linked-list1;test_3-5_0-1_46;44;25;8;33;11;75.00
linked-list1;test_3-5_0-6_196;44;25;11;36;8;81.82
linked-list1;test_3-5_0-5_172;44;25;5;30;14;68.18
linked-list1;test_3-5_0-5_154;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_171;44;25;5;30;14;68.18
linked-list1;test_3-5_0-0_16;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_317;44;25;11;36;8;81.82
linked-list1;test_3-5_0-1_36;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_175;44;25;5;30;14;68.18
linked-list1;test_3-5_0-8_242;44;25;9;34;10;77.27
linked-list1;test_3-5_0-0_23;44;25;8;33;11;75.00
linked-list1;test_3-5_0-8_254;44;25;8;33;11;75.00
linked-list1;test_3-5_0-6_207;44;28;5;33;11;75.00
linked-list1;test_3-5_0-9_287;44;32;9;41;3;93.18
linked-list1;test_3-5_0-8_264;44;38;2;40;4;90.91
linked-list1;test_3-5_0-0_3;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_87;44;25;8;33;11;75.00
linked-list1;test_3-5_0-7_230;44;25;8;33;11;75.00
linked-list1;test_3-5_0-0_22;44;25;8;33;11;75.00
linked-list1;test_3-5_0-8_249;44;25;8;33;11;75.00
linked-list1;test_3-5_0-7_212;44;25;8;33;11;75.00
linked-list1;test_3-5_0-9_299;44;28;5;33;11;75.00
linked-list1;test_3-5_0-7_217;44;34;6;40;4;90.91
linked-list1;test_3-5_0-0_20;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_86;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_108;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_112;44;25;5;30;14;68.18
linked-list1;test_3-5_1-0_305;44;33;2;35;9;79.55
linked-list1;test_3-5_0-3_107;44;25;5;30;14;68.18
linked-list1;test_3-5_0-6_193;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_167;44;25;8;33;11;75.00
linked-list1;test_3-5_0-2_81;44;25;8;33;11;75.00
linked-list1;test_3-5_0-0_8;44;25;8;33;11;75.00
linked-list1;test_3-5_0-4_125;44;25;8;33;11;75.00
linked-list1;test_3-5_1-0_307;44;25;11;36;8;81.82
linked-list1;test_3-5_0-1_54;44;25;8;33;11;75.00
linked-list1;test_3-5_0-5_152;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_94;44;25;8;33;11;75.00
linked-list1;test_3-5_0-3_103;44;25;8;33;11;75.00
linked-list1;test_3-5_0-7_215;44;33;1;34;10;77.27
