project;test file;line coverage;branch coverage
linked-list1;test_3-5_1-0_326;0.00;88.46
linked-list1;test_3-5_0-0_10;0.00;73.08
linked-list1;test_3-5_0-4_137;0.00;73.08
linked-list1;test_3-5_0-1_56;0.00;73.08
linked-list1;test_3-5_1-0_310;0.00;88.46
linked-list1;test_3-5_0-7_226;0.00;73.08
linked-list1;test_3-5_0-2_78;0.00;73.08
linked-list1;test_3-5_0-8_262;0.00;61.54
linked-list1;test_3-5_0-9_283;0.00;73.08
linked-list1;test_3-5_0-0_4;0.00;73.08
linked-list1;test_3-5_0-6_200;0.00;23.08
linked-list1;test_3-5_0-1_50;0.00;73.08
linked-list1;test_3-5_0-6_183;0.00;73.08
linked-list1;test_3-5_0-5_177;0.00;76.92
linked-list1;test_3-5_0-6_210;0.00;73.08
linked-list1;test_3-5_0-5_180;0.00;73.08
linked-list1;test_3-5_0-3_116;0.00;73.08
linked-list1;test_3-5_0-2_70;0.00;73.08
linked-list1;test_3-5_0-4_133;0.00;73.08
linked-list1;test_3-5_1-0_322;0.00;73.08
linked-list1;test_3-5_0-9_273;0.00;73.08
linked-list1;test_3-5_1-0_328;0.00;73.08
linked-list1;test_3-5_0-8_248;0.00;73.08
linked-list1;test_3-5_0-3_95;0.00;73.08
linked-list1;test_3-5_1-0_301;0.00;76.92
linked-list1;test_3-5_0-8_268;0.00;73.08
linked-list1;test_3-5_0-3_114;0.00;73.08
linked-list1;test_3-5_0-7_220;0.00;73.08
linked-list1;test_3-5_0-0_5;0.00;73.08
linked-list1;test_3-5_0-3_91;0.00;73.08
linked-list1;test_3-5_0-2_90;0.00;73.08
linked-list1;test_3-5_0-6_185;0.00;73.08
linked-list1;test_3-5_0-7_225;0.00;73.08
linked-list1;test_3-5_1-0_314;0.00;42.31
linked-list1;test_3-5_0-1_45;0.00;73.08
linked-list1;test_3-5_0-9_293;0.00;73.08
linked-list1;test_3-5_0-2_77;0.00;73.08
linked-list1;test_3-5_0-0_17;0.00;73.08
linked-list1;test_3-5_1-0_312;0.00;80.77
linked-list1;test_3-5_0-4_121;0.00;73.08
linked-list1;test_3-5_0-6_203;0.00;76.92
linked-list1;test_3-5_0-6_181;0.00;73.08
linked-list1;test_3-5_0-7_222;0.00;73.08
linked-list1;test_3-5_0-9_294;0.00;65.38
linked-list1;test_3-5_1-0_308;0.00;73.08
linked-list1;test_3-5_0-1_46;0.00;73.08
linked-list1;test_3-5_0-6_196;0.00;61.54
linked-list1;test_3-5_0-5_172;0.00;73.08
linked-list1;test_3-5_0-5_154;0.00;73.08
linked-list1;test_3-5_0-5_171;0.00;73.08
linked-list1;test_3-5_0-0_16;0.00;73.08
linked-list1;test_3-5_1-0_317;0.00;61.54
linked-list1;test_3-5_0-1_36;0.00;73.08
linked-list1;test_3-5_0-5_175;0.00;73.08
linked-list1;test_3-5_0-8_242;0.00;73.08
linked-list1;test_3-5_0-0_23;0.00;73.08
linked-list1;test_3-5_0-8_254;0.00;73.08
linked-list1;test_3-5_0-6_207;0.00;76.92
linked-list1;test_3-5_0-9_287;0.00;88.46
linked-list1;test_3-5_0-8_264;0.00;84.62
linked-list1;test_3-5_0-0_3;0.00;73.08
linked-list1;test_3-5_0-2_87;0.00;73.08
linked-list1;test_3-5_0-7_230;0.00;73.08
linked-list1;test_3-5_0-0_22;0.00;73.08
linked-list1;test_3-5_0-8_249;0.00;73.08
linked-list1;test_3-5_0-7_212;0.00;73.08
linked-list1;test_3-5_0-9_299;0.00;76.92
linked-list1;test_3-5_0-7_217;0.00;84.62
linked-list1;test_3-5_0-0_20;0.00;73.08
linked-list1;test_3-5_0-2_86;0.00;73.08
linked-list1;test_3-5_0-3_108;0.00;73.08
linked-list1;test_3-5_0-3_112;0.00;73.08
linked-list1;test_3-5_1-0_305;0.00;80.77
linked-list1;test_3-5_0-3_107;0.00;73.08
linked-list1;test_3-5_0-6_193;0.00;73.08
linked-list1;test_3-5_0-5_167;0.00;73.08
linked-list1;test_3-5_0-2_81;0.00;73.08
