project;test file;mutants;killed;incompetent;timeout;survived;mutation score
linked-list1;test_3-5_1-0_326;80;59;7;7;7;91.25
linked-list1;test_3-5_0-0_10;80;47;7;8;18;77.50
linked-list1;test_3-5_0-4_137;80;47;7;5;21;73.75
linked-list1;test_3-5_0-1_56;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_310;80;57;7;5;11;86.25
linked-list1;test_3-5_0-7_226;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_78;80;47;7;8;18;77.50
linked-list1;test_3-5_0-8_262;80;47;7;9;17;78.75
linked-list1;test_3-5_0-9_283;80;45;7;11;17;78.75
linked-list1;test_3-5_0-0_4;80;47;7;8;18;77.50
linked-list1;test_3-5_0-6_200;80;36;7;0;37;53.75
linked-list1;test_3-5_0-1_50;80;47;7;8;18;77.50
linked-list1;test_3-5_0-6_183;80;47;7;8;18;77.50
linked-list1;test_3-5_0-5_177;80;52;7;8;13;83.75
linked-list1;test_3-5_0-6_210;80;48;7;8;17;78.75
linked-list1;test_3-5_0-5_180;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_116;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_70;80;48;7;8;17;78.75
linked-list1;test_3-5_0-4_133;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_322;80;47;7;8;18;77.50
linked-list1;test_3-5_0-9_273;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_328;80;47;7;8;18;77.50
linked-list1;test_3-5_0-8_248;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_95;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_301;80;51;7;8;14;82.50
linked-list1;test_3-5_0-8_268;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_114;80;47;7;8;18;77.50
linked-list1;test_3-5_0-7_220;80;47;7;5;21;73.75
linked-list1;test_3-5_0-0_5;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_91;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_90;80;47;7;8;18;77.50
linked-list1;test_3-5_0-6_185;80;47;7;5;21;73.75
linked-list1;test_3-5_0-7_225;80;48;7;8;17;78.75
linked-list1;test_3-5_1-0_314;80;42;7;2;29;63.75
linked-list1;test_3-5_0-1_45;80;47;7;8;18;77.50
linked-list1;test_3-5_0-9_293;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_77;80;47;7;8;18;77.50
linked-list1;test_3-5_0-0_17;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_312;80;50;7;10;13;83.75
linked-list1;test_3-5_0-4_121;80;47;7;9;17;78.75
linked-list1;test_3-5_0-6_203;80;51;7;8;14;82.50
linked-list1;test_3-5_0-6_181;80;48;7;8;17;78.75
linked-list1;test_3-5_0-7_222;80;48;7;8;17;78.75
linked-list1;test_3-5_0-9_294;80;51;7;4;18;77.50
linked-list1;test_3-5_1-0_308;80;48;7;8;17;78.75
linked-list1;test_3-5_0-1_46;80;47;7;8;18;77.50
linked-list1;test_3-5_0-6_196;80;48;7;9;16;80.00
linked-list1;test_3-5_0-5_172;80;47;7;5;21;73.75
linked-list1;test_3-5_0-5_154;80;47;7;8;18;77.50
linked-list1;test_3-5_0-5_171;80;47;7;5;21;73.75
linked-list1;test_3-5_0-0_16;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_317;80;47;7;9;17;78.75
linked-list1;test_3-5_0-1_36;80;47;7;8;18;77.50
linked-list1;test_3-5_0-5_175;80;47;7;5;21;73.75
linked-list1;test_3-5_0-8_242;80;48;7;9;16;80.00
linked-list1;test_3-5_0-0_23;80;47;7;8;18;77.50
linked-list1;test_3-5_0-8_254;80;47;7;8;18;77.50
linked-list1;test_3-5_0-6_207;80;51;7;8;14;82.50
linked-list1;test_3-5_0-9_287;80;58;7;7;8;90.00
linked-list1;test_3-5_0-8_264;80;61;7;5;7;91.25
linked-list1;test_3-5_0-0_3;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_87;80;47;7;8;18;77.50
linked-list1;test_3-5_0-7_230;80;47;7;8;18;77.50
linked-list1;test_3-5_0-0_22;80;47;7;8;18;77.50
linked-list1;test_3-5_0-8_249;80;47;7;8;18;77.50
linked-list1;test_3-5_0-7_212;80;47;7;8;18;77.50
linked-list1;test_3-5_0-9_299;80;51;7;8;14;82.50
linked-list1;test_3-5_0-7_217;80;54;7;10;9;88.75
linked-list1;test_3-5_0-0_20;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_86;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_108;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_112;80;47;7;5;21;73.75
linked-list1;test_3-5_1-0_305;80;54;7;7;12;85.00
linked-list1;test_3-5_0-3_107;80;47;7;5;21;73.75
linked-list1;test_3-5_0-6_193;80;48;7;8;17;78.75
linked-list1;test_3-5_0-5_167;80;47;7;8;18;77.50
linked-list1;test_3-5_0-2_81;80;47;7;8;18;77.50
linked-list1;test_3-5_0-0_8;80;47;7;8;18;77.50
linked-list1;test_3-5_0-4_125;80;47;7;8;18;77.50
linked-list1;test_3-5_1-0_307;80;41;7;9;23;71.25
linked-list1;test_3-5_0-1_54;80;47;7;8;18;77.50
linked-list1;test_3-5_0-5_152;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_94;80;47;7;8;18;77.50
linked-list1;test_3-5_0-3_103;80;47;7;8;18;77.50
linked-list1;test_3-5_0-7_215;80;54;7;3;16;80.00
linked-list1;test_3-5_1-0_309;80;50;7;5;18;77.50
