project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
long-comm;test_3-5_0-5_178;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_83;30;25;0;25;5;83.33
long-comm;test_3-5_0-7_213;30;26;0;26;4;86.67
long-comm;test_3-5_0-9_279;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_115;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_224;30;27;0;27;3;90.00
long-comm;test_3-5_0-0_10;30;23;0;23;7;76.67
long-comm;test_3-5_0-4_137;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_56;30;26;0;26;4;86.67
long-comm;test_3-5_0-8_257;30;23;0;23;7;76.67
long-comm;test_3-5_1-0_310;30;21;0;21;9;70.00
long-comm;test_3-5_0-7_226;30;27;0;27;3;90.00
long-comm;test_3-5_1-0_329;30;25;0;25;5;83.33
long-comm;test_3-5_0-2_78;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_262;30;27;0;27;3;90.00
long-comm;test_3-5_0-8_251;30;21;0;21;9;70.00
long-comm;test_3-5_0-4_123;30;27;0;27;3;90.00
long-comm;test_3-5_0-9_283;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_4;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_200;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_50;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_183;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_177;30;27;0;27;3;90.00
long-comm;test_3-5_0-6_210;30;25;0;25;5;83.33
long-comm;test_3-5_0-7_211;30;24;0;24;6;80.00
long-comm;test_3-5_0-5_180;30;24;0;24;6;80.00
long-comm;test_3-5_0-3_116;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_70;30;23;0;23;7;76.67
long-comm;test_3-5_0-4_133;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_322;30;25;0;25;5;83.33
long-comm;test_3-5_0-9_284;30;23;0;23;7;76.67
long-comm;test_3-5_0-4_150;30;27;0;27;3;90.00
long-comm;test_3-5_1-0_328;30;26;0;26;4;86.67
long-comm;test_3-5_0-9_300;30;22;0;22;8;73.33
long-comm;test_3-5_0-8_248;30;27;0;27;3;90.00
long-comm;test_3-5_0-3_95;30;25;0;25;5;83.33
long-comm;test_3-5_1-0_301;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_104;30;26;0;26;4;86.67
long-comm;test_3-5_0-8_268;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_114;30;25;0;25;5;83.33
long-comm;test_3-5_0-7_236;30;23;0;23;7;76.67
long-comm;test_3-5_0-7_220;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_118;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_48;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_5;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_91;30;25;0;25;5;83.33
long-comm;test_3-5_0-5_176;30;25;0;25;5;83.33
long-comm;test_3-5_0-2_90;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_185;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_250;30;23;0;23;7;76.67
long-comm;test_3-5_0-8_259;30;27;0;27;3;90.00
long-comm;test_3-5_0-7_225;30;23;0;23;7;76.67
long-comm;test_3-5_0-4_130;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_253;30;27;0;27;3;90.00
long-comm;test_3-5_1-0_314;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_45;30;26;0;26;4;86.67
long-comm;test_3-5_0-9_293;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_77;30;27;0;27;3;90.00
long-comm;test_3-5_0-0_17;30;25;0;25;5;83.33
long-comm;test_3-5_0-4_143;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_312;30;27;0;27;3;90.00
long-comm;test_3-5_0-4_121;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_319;30;25;0;25;5;83.33
long-comm;test_3-5_0-9_297;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_203;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_181;30;25;0;25;5;83.33
long-comm;test_3-5_0-9_292;30;24;0;24;6;80.00
long-comm;test_3-5_0-7_222;30;25;0;25;5;83.33
long-comm;test_3-5_0-9_294;30;23;0;23;7;76.67
long-comm;test_3-5_0-7_233;30;27;0;27;3;90.00
long-comm;test_3-5_1-0_308;30;27;0;27;3;90.00
long-comm;test_3-5_0-7_223;30;26;0;26;4;86.67
long-comm;test_3-5_0-1_46;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_67;30;25;0;25;5;83.33
long-comm;test_3-5_0-6_196;30;25;0;25;5;83.33
long-comm;test_3-5_0-5_172;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_154;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_98;30;27;0;27;3;90.00
long-comm;test_3-5_0-5_171;30;27;0;27;3;90.00
long-comm;test_3-5_0-0_16;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_317;30;27;0;27;3;90.00
long-comm;test_3-5_0-5_179;30;23;0;23;7;76.67
long-comm;test_3-5_1-0_321;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_36;30;26;0;26;4;86.67
long-comm;test_3-5_0-8_252;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_227;30;25;0;25;5;83.33
long-comm;test_3-5_0-4_139;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_324;30;15;0;15;15;50.00
long-comm;test_3-5_0-5_175;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_242;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_111;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_23;30;23;0;23;7;76.67
long-comm;test_3-5_0-8_254;30;27;0;27;3;90.00
long-comm;test_3-5_0-5_165;30;25;0;25;5;83.33
long-comm;test_3-5_0-6_207;30;25;0;25;5;83.33
long-comm;test_3-5_0-9_287;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_264;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_197;30;23;0;23;7;76.67
long-comm;test_3-5_0-2_87;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_230;30;24;0;24;6;80.00
long-comm;test_3-5_0-9_272;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_22;30;26;0;26;4;86.67
long-comm;test_3-5_0-8_249;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_212;30;26;0;26;4;86.67
long-comm;test_3-5_0-4_127;30;27;0;27;3;90.00
long-comm;test_3-5_0-7_232;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_120;30;26;0;26;4;86.67
long-comm;test_3-5_0-9_299;30;28;0;28;2;93.33
long-comm;test_3-5_0-7_217;30;28;0;28;2;93.33
long-comm;test_3-5_0-0_20;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_86;30;27;0;27;3;90.00
long-comm;test_3-5_0-4_148;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_151;30;23;0;23;7;76.67
long-comm;test_3-5_0-3_108;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_112;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_305;30;25;0;25;5;83.33
long-comm;test_3-5_0-7_238;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_107;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_193;30;25;0;25;5;83.33
long-comm;test_3-5_0-5_168;30;27;0;27;3;90.00
long-comm;test_3-5_0-9_285;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_167;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_81;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_8;30;25;0;25;5;83.33
long-comm;test_3-5_0-4_125;30;27;0;27;3;90.00
long-comm;test_3-5_0-8_269;30;25;0;25;5;83.33
long-comm;test_3-5_1-0_307;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_54;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_152;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_260;30;27;0;27;3;90.00
long-comm;test_3-5_0-3_94;30;24;0;24;6;80.00
long-comm;test_3-5_0-3_103;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_229;30;23;0;23;7;76.67
long-comm;test_3-5_0-4_142;30;26;0;26;4;86.67
long-comm;test_3-5_0-5_160;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_215;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_186;30;23;0;23;7;76.67
long-comm;test_3-5_0-3_96;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_309;30;25;0;25;5;83.33
long-comm;test_3-5_0-6_199;30;25;0;25;5;83.33
long-comm;test_3-5_0-2_64;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_110;30;24;0;24;6;80.00
long-comm;test_3-5_0-8_266;30;25;0;25;5;83.33
long-comm;test_3-5_0-1_49;30;24;0;24;6;80.00
long-comm;test_3-5_0-6_184;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_106;30;26;0;26;4;86.67
long-comm;test_3-5_0-2_82;30;26;0;26;4;86.67
long-comm;test_3-5_0-4_134;30;25;0;25;5;83.33
long-comm;test_3-5_0-5_163;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_216;30;23;0;23;7;76.67
long-comm;test_3-5_1-0_315;30;25;0;25;5;83.33
long-comm;test_3-5_0-2_73;30;24;0;24;6;80.00
long-comm;test_3-5_0-6_204;30;26;0;26;4;86.67
long-comm;test_3-5_0-3_99;30;25;0;25;5;83.33
long-comm;test_3-5_0-5_169;30;26;0;26;4;86.67
long-comm;test_3-5_0-1_31;30;25;0;25;5;83.33
long-comm;test_3-5_0-4_146;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_100;30;26;0;26;4;86.67
long-comm;test_3-5_0-1_40;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_258;30;26;0;26;4;86.67
long-comm;test_3-5_0-4_131;30;25;0;25;5;83.33
long-comm;test_3-5_0-0_28;30;26;0;26;4;86.67
long-comm;test_3-5_1-0_323;30;24;0;24;6;80.00
long-comm;test_3-5_0-7_219;30;15;0;15;15;50.00
long-comm;test_3-5_0-6_195;30;25;0;25;5;83.33
long-comm;test_3-5_0-8_265;30;18;0;18;12;60.00
long-comm;test_3-5_0-8_270;30;24;0;24;6;80.00
long-comm;test_3-5_0-3_109;30;25;0;25;5;83.33
long-comm;test_3-5_0-3_92;30;26;0;26;4;86.67
long-comm;test_3-5_0-7_235;30;25;0;25;5;83.33
long-comm;test_3-5_0-4_126;30;27;0;27;3;90.00
long-comm;test_3-5_0-1_33;30;25;0;25;5;83.33
long-comm;test_3-5_0-6_188;30;23;0;23;7;76.67
long-comm;test_3-5_0-7_231;30;26;0;26;4;86.67
long-comm;test_3-5_0-6_202;30;24;0;24;6;80.00
long-comm;test_3-5_1-0_325;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_25;30;26;0;26;4;86.67
long-comm;test_3-5_0-1_53;30;26;0;26;4;86.67
long-comm;test_3-5_0-0_9;30;25;0;25;5;83.33
