project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
lru-cache;test_3-5_0-2_83;26;15;0;15;11;57.69
lru-cache;test_3-5_0-7_213;26;20;0;20;6;76.92
lru-cache;test_3-5_0-9_279;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_326;26;17;0;17;9;65.38
lru-cache;test_3-5_0-4_137;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_56;26;21;0;21;5;80.77
lru-cache;test_3-5_0-8_262;26;22;0;22;4;84.62
lru-cache;test_3-5_0-4_123;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_4;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_200;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_50;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_183;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_210;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_180;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_116;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_70;26;20;0;20;6;76.92
lru-cache;test_3-5_0-9_284;26;20;0;20;6;76.92
lru-cache;test_3-5_0-4_150;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_328;26;22;0;22;4;84.62
lru-cache;test_3-5_0-9_300;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_95;26;15;0;15;11;57.69
lru-cache;test_3-5_1-0_301;26;20;0;20;6;76.92
lru-cache;test_3-5_0-3_104;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_114;26;23;0;23;3;88.46
lru-cache;test_3-5_0-7_220;26;22;0;22;4;84.62
lru-cache;test_3-5_0-3_118;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_48;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_5;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_91;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_176;26;22;0;22;4;84.62
lru-cache;test_3-5_0-2_90;26;21;0;21;5;80.77
lru-cache;test_3-5_0-8_259;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_130;26;21;0;21;5;80.77
lru-cache;test_3-5_0-8_253;26;18;0;18;8;69.23
lru-cache;test_3-5_0-1_45;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_77;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_17;26;15;0;15;11;57.69
lru-cache;test_3-5_0-4_143;26;15;0;15;11;57.69
lru-cache;test_3-5_1-0_312;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_121;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_319;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_297;26;19;0;19;7;73.08
lru-cache;test_3-5_0-6_203;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_222;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_294;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_233;26;20;0;20;6;76.92
lru-cache;test_3-5_1-0_308;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_67;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_154;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_98;26;17;0;17;9;65.38
lru-cache;test_3-5_0-5_171;26;23;0;23;3;88.46
lru-cache;test_3-5_0-0_16;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_317;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_36;26;15;0;15;11;57.69
lru-cache;test_3-5_1-0_324;26;22;0;22;4;84.62
lru-cache;test_3-5_0-5_175;26;20;0;20;6;76.92
lru-cache;test_3-5_0-0_23;26;15;0;15;11;57.69
lru-cache;test_3-5_0-8_254;26;23;0;23;3;88.46
lru-cache;test_3-5_0-6_207;26;20;0;20;6;76.92
lru-cache;test_3-5_0-9_287;26;22;0;22;4;84.62
lru-cache;test_3-5_0-0_3;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_87;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_272;26;17;0;17;9;65.38
lru-cache;test_3-5_0-0_22;26;15;0;15;11;57.69
lru-cache;test_3-5_0-7_212;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_127;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_120;26;15;0;15;11;57.69
lru-cache;test_3-5_0-9_299;26;20;0;20;6;76.92
lru-cache;test_3-5_0-7_217;26;15;0;15;11;57.69
lru-cache;test_3-5_0-0_20;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_86;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_112;26;22;0;22;4;84.62
lru-cache;test_3-5_1-0_305;26;22;0;22;4;84.62
lru-cache;test_3-5_0-7_238;26;22;0;22;4;84.62
lru-cache;test_3-5_0-6_193;26;20;0;20;6;76.92
lru-cache;test_3-5_0-9_285;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_167;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_81;26;20;0;20;6;76.92
lru-cache;test_3-5_0-0_8;26;15;0;15;11;57.69
lru-cache;test_3-5_0-4_125;26;15;0;15;11;57.69
lru-cache;test_3-5_1-0_307;26;17;0;17;9;65.38
lru-cache;test_3-5_0-8_260;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_94;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_229;26;18;0;18;8;69.23
lru-cache;test_3-5_0-6_186;26;22;0;22;4;84.62
lru-cache;test_3-5_1-0_309;26;18;0;18;8;69.23
lru-cache;test_3-5_0-6_199;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_64;26;17;0;17;9;65.38
lru-cache;test_3-5_0-3_110;26;20;0;20;6;76.92
lru-cache;test_3-5_0-1_49;26;15;0;15;11;57.69
lru-cache;test_3-5_0-6_184;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_106;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_201;26;17;0;17;9;65.38
lru-cache;test_3-5_0-4_134;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_163;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_216;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_315;26;23;0;23;3;88.46
lru-cache;test_3-5_0-2_73;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_169;26;22;0;22;4;84.62
lru-cache;test_3-5_0-1_31;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_40;26;15;0;15;11;57.69
lru-cache;test_3-5_0-4_131;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_28;26;21;0;21;5;80.77
lru-cache;test_3-5_0-8_265;26;18;0;18;8;69.23
lru-cache;test_3-5_0-8_270;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_109;26;17;0;17;9;65.38
lru-cache;test_3-5_0-1_33;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_231;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_202;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_325;26;23;0;23;3;88.46
lru-cache;test_3-5_0-0_25;26;15;0;15;11;57.69
lru-cache;test_3-5_0-0_9;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_1;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_113;26;17;0;17;9;65.38
lru-cache;test_3-5_0-0_29;26;15;0;15;11;57.69
lru-cache;test_3-5_0-6_182;26;15;0;15;11;57.69
lru-cache;test_3-5_0-5_161;26;20;0;20;6;76.92
lru-cache;test_3-5_1-0_311;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_275;26;15;0;15;11;57.69
lru-cache;test_3-5_0-1_42;26;15;0;15;11;57.69
lru-cache;test_3-5_0-9_281;26;20;0;20;6;76.92
lru-cache;test_3-5_1-0_327;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_271;26;17;0;17;9;65.38
lru-cache;test_3-5_0-0_11;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_7;26;15;0;15;11;57.69
lru-cache;test_3-5_0-1_43;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_44;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_135;26;17;0;17;9;65.38
lru-cache;test_3-5_0-9_298;26;22;0;22;4;84.62
lru-cache;test_3-5_0-2_76;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_304;26;20;0;20;6;76.92
lru-cache;test_3-5_0-7_228;26;20;0;20;6;76.92
lru-cache;test_3-5_0-3_105;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_221;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_41;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_145;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_159;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_136;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_117;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_80;26;15;0;15;11;57.69
lru-cache;test_3-5_0-9_288;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_61;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_218;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_140;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_12;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_316;26;18;0;18;8;69.23
lru-cache;test_3-5_0-0_18;26;15;0;15;11;57.69
lru-cache;test_3-5_0-0_26;26;15;0;15;11;57.69
lru-cache;test_3-5_0-1_60;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_58;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_274;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_75;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_30;26;21;0;21;5;80.77
lru-cache;test_3-5_0-2_89;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_128;26;15;0;15;11;57.69
lru-cache;test_3-5_0-9_289;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_173;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_51;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_208;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_32;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_101;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_138;26;22;0;22;4;84.62
lru-cache;test_3-5_0-2_68;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_155;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_13;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_47;26;15;0;15;11;57.69
lru-cache;test_3-5_0-1_39;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_214;26;20;0;20;6;76.92
lru-cache;test_3-5_0-0_27;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_240;26;17;0;17;9;65.38
lru-cache;test_3-5_0-0_6;26;21;0;21;5;80.77
lru-cache;test_3-5_0-4_141;26;22;0;22;4;84.62
lru-cache;test_3-5_0-1_59;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_174;26;18;0;18;8;69.23
lru-cache;test_3-5_0-2_88;26;18;0;18;8;69.23
lru-cache;test_3-5_0-8_243;26;20;0;20;6;76.92
lru-cache;test_3-5_0-9_280;26;24;0;24;2;92.31
lru-cache;test_3-5_0-4_129;26;21;0;21;5;80.77
lru-cache;test_3-5_0-5_153;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_57;26;21;0;21;5;80.77
lru-cache;test_3-5_0-6_198;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_34;26;15;0;15;11;57.69
lru-cache;test_3-5_0-6_187;26;21;0;21;5;80.77
lru-cache;test_3-5_0-1_55;26;15;0;15;11;57.69
lru-cache;test_3-5_0-2_65;26;21;0;21;5;80.77
lru-cache;test_3-5_1-0_318;26;22;0;22;4;84.62
lru-cache;test_3-5_0-4_144;26;17;0;17;9;65.38
lru-cache;test_3-5_0-2_72;26;15;0;15;11;57.69
lru-cache;test_3-5_0-2_84;26;21;0;21;5;80.77
lru-cache;test_3-5_0-9_295;26;21;0;21;5;80.77
lru-cache;test_3-5_0-3_102;26;15;0;15;11;57.69
lru-cache;test_3-5_0-2_85;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_19;26;15;0;15;11;57.69
lru-cache;test_3-5_0-2_79;26;15;0;15;11;57.69
lru-cache;test_3-5_0-0_15;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_21;26;15;0;15;11;57.69
lru-cache;test_3-5_0-8_245;26;22;0;22;4;84.62
lru-cache;test_3-5_0-8_255;26;21;0;21;5;80.77
lru-cache;test_3-5_0-7_234;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_24;26;21;0;21;5;80.77
lru-cache;test_3-5_0-0_2;26;15;0;15;11;57.69
lru-cache;test_3-5_0-1_38;26;15;0;15;11;57.69
lru-cache;test_3-5_1-0_303;26;21;0;21;5;80.77
lru-cache;test_3-5_0-8_247;26;21;0;21;5;80.77
