project;test file;mutants;killed;incompetent;timeout;survived;mutation score
priority-queue1;test_3-5_0-7_213;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-8_257;53;37;6;0;10;81.13
priority-queue1;test_3-5_1-0_322;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-8_268;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-6_185;53;40;6;0;7;86.79
priority-queue1;test_3-5_1-0_314;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-5_175;53;42;6;0;5;90.57
priority-queue1;test_3-5_0-9_272;53;41;6;0;6;88.68
priority-queue1;test_3-5_0-8_249;53;38;8;0;7;86.79
priority-queue1;test_3-5_0-5_151;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-4_125;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-6_184;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-9_298;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-9_288;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-9_278;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-3_101;53;40;6;0;7;86.79
priority-queue1;test_3-5_0-5_174;53;39;6;0;8;84.91
priority-queue1;test_3-5_0-8_267;53;40;6;0;7;86.79
