project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
priority-queue2;test_3-5_0-7_213;13;10;0;10;3;76.92
priority-queue2;test_3-5_0-3_115;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_224;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_326;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-0_10;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-4_137;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_56;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_257;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_226;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-2_78;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_251;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-9_283;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-0_4;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_200;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_50;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_183;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-5_177;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_210;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_211;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-5_180;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-2_70;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_322;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-4_150;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-9_273;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_248;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-3_95;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_268;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-3_114;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-3_118;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_48;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-0_5;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-3_91;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-5_176;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-2_90;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_185;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_259;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_225;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-4_130;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_45;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-2_77;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-0_17;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_312;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-4_121;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_319;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-9_297;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_203;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_181;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-9_292;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_222;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_233;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_308;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-7_223;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_46;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-2_67;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-6_196;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-5_154;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-0_16;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_321;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-1_36;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_252;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-4_139;13;11;0;11;2;84.62
priority-queue2;test_3-5_1-0_324;13;11;0;11;2;84.62
priority-queue2;test_3-5_0-8_242;13;11;0;11;2;84.62
