project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
queue;test_3-5_0-5_178;1;1;0;1;0;100.00
queue;test_3-5_0-2_83;1;1;0;1;0;100.00
queue;test_3-5_0-7_213;1;1;0;1;0;100.00
queue;test_3-5_0-9_279;1;0;0;0;1;0.00
queue;test_3-5_0-3_115;1;1;0;1;0;100.00
queue;test_3-5_0-7_224;1;0;0;0;1;0.00
queue;test_3-5_0-0_10;1;1;0;1;0;100.00
queue;test_3-5_0-4_137;1;0;0;0;1;0.00
queue;test_3-5_0-1_56;1;1;0;1;0;100.00
queue;test_3-5_0-8_257;1;1;0;1;0;100.00
queue;test_3-5_1-0_310;1;1;0;1;0;100.00
queue;test_3-5_0-7_226;1;1;0;1;0;100.00
queue;test_3-5_1-0_329;1;1;0;1;0;100.00
queue;test_3-5_0-2_78;1;1;0;1;0;100.00
queue;test_3-5_0-8_262;1;1;0;1;0;100.00
queue;test_3-5_0-8_251;1;0;0;0;1;0.00
queue;test_3-5_0-4_123;1;1;0;1;0;100.00
queue;test_3-5_0-0_4;1;1;0;1;0;100.00
queue;test_3-5_0-6_200;1;1;0;1;0;100.00
queue;test_3-5_0-1_50;1;1;0;1;0;100.00
queue;test_3-5_0-6_183;1;1;0;1;0;100.00
queue;test_3-5_0-5_177;1;1;0;1;0;100.00
queue;test_3-5_0-7_211;1;1;0;1;0;100.00
queue;test_3-5_0-5_180;1;1;0;1;0;100.00
queue;test_3-5_0-3_116;1;1;0;1;0;100.00
queue;test_3-5_0-2_70;1;1;0;1;0;100.00
queue;test_3-5_0-4_133;1;1;0;1;0;100.00
queue;test_3-5_1-0_322;1;1;0;1;0;100.00
queue;test_3-5_0-9_284;1;1;0;1;0;100.00
queue;test_3-5_0-4_150;1;1;0;1;0;100.00
queue;test_3-5_1-0_328;1;1;0;1;0;100.00
queue;test_3-5_0-9_300;1;1;0;1;0;100.00
queue;test_3-5_0-8_248;1;0;0;0;1;0.00
queue;test_3-5_0-3_95;1;1;0;1;0;100.00
queue;test_3-5_1-0_301;1;0;0;0;1;0.00
queue;test_3-5_0-3_104;1;1;0;1;0;100.00
queue;test_3-5_0-8_268;1;1;0;1;0;100.00
queue;test_3-5_0-3_114;1;1;0;1;0;100.00
queue;test_3-5_0-7_236;1;1;0;1;0;100.00
queue;test_3-5_0-7_220;1;1;0;1;0;100.00
queue;test_3-5_0-3_118;1;1;0;1;0;100.00
queue;test_3-5_0-1_48;1;1;0;1;0;100.00
queue;test_3-5_0-0_5;1;1;0;1;0;100.00
queue;test_3-5_0-3_91;1;1;0;1;0;100.00
queue;test_3-5_0-5_176;1;1;0;1;0;100.00
queue;test_3-5_0-2_90;1;1;0;1;0;100.00
queue;test_3-5_0-6_185;1;1;0;1;0;100.00
queue;test_3-5_0-8_250;1;1;0;1;0;100.00
queue;test_3-5_0-8_259;1;1;0;1;0;100.00
queue;test_3-5_0-7_225;1;1;0;1;0;100.00
queue;test_3-5_0-4_130;1;1;0;1;0;100.00
queue;test_3-5_0-8_253;1;0;0;0;1;0.00
queue;test_3-5_1-0_314;1;1;0;1;0;100.00
queue;test_3-5_0-1_45;1;1;0;1;0;100.00
queue;test_3-5_0-9_293;1;0;0;0;1;0.00
queue;test_3-5_0-2_77;1;1;0;1;0;100.00
queue;test_3-5_0-0_17;1;1;0;1;0;100.00
queue;test_3-5_0-4_143;1;1;0;1;0;100.00
queue;test_3-5_1-0_319;1;1;0;1;0;100.00
