project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
quicksort;test_3-5_0-5_178;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_83;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_213;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_279;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_115;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_224;60;52;0;52;8;86.67
quicksort;test_3-5_1-0_326;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_10;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_137;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_56;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_257;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_310;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_226;60;52;0;52;8;86.67
quicksort;test_3-5_1-0_329;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_78;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_262;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_251;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_283;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_4;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_200;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_50;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_183;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_177;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_210;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_211;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_180;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_116;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_70;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_322;60;52;0;52;8;86.67
quicksort;test_3-5_0-9_284;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_150;60;52;0;52;8;86.67
quicksort;test_3-5_1-0_328;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_300;60;52;0;52;8;86.67
quicksort;test_3-5_0-8_248;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_95;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_301;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_104;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_268;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_114;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_236;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_220;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_118;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_48;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_5;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_91;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_176;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_90;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_185;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_225;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_130;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_253;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_314;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_45;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_293;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_77;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_17;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_143;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_121;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_319;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_297;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_203;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_181;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_292;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_222;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_294;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_233;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_308;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_223;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_46;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_67;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_172;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_154;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_98;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_171;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_16;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_179;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_36;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_252;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_227;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_139;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_175;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_111;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_23;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_254;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_165;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_207;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_287;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_264;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_197;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_87;60;53;0;53;7;88.33
