project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
rabin-karp;test_3-5_0-5_178;266;232;2;234;32;87.97
rabin-karp;test_3-5_0-9_279;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-7_224;266;229;0;229;37;86.09
rabin-karp;test_3-5_0-0_10;266;224;2;226;40;84.96
rabin-karp;test_3-5_1-0_310;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-9_283;266;237;2;239;27;89.85
rabin-karp;test_3-5_0-6_200;266;231;1;232;34;87.22
rabin-karp;test_3-5_0-6_183;266;236;2;238;28;89.47
rabin-karp;test_3-5_0-5_177;266;226;2;228;38;85.71
rabin-karp;test_3-5_0-6_210;266;226;2;228;38;85.71
rabin-karp;test_3-5_0-5_180;266;228;3;231;35;86.84
rabin-karp;test_3-5_0-8_248;266;229;1;230;36;86.47
rabin-karp;test_3-5_1-0_301;266;228;1;229;37;86.09
rabin-karp;test_3-5_0-2_77;266;224;2;226;40;84.96
rabin-karp;test_3-5_1-0_312;266;228;2;230;36;86.47
rabin-karp;test_3-5_0-6_181;266;223;3;226;40;84.96
rabin-karp;test_3-5_0-9_294;266;225;3;228;38;85.71
rabin-karp;test_3-5_1-0_317;266;227;3;230;36;86.47
rabin-karp;test_3-5_0-5_179;266;220;2;222;44;83.46
rabin-karp;test_3-5_0-5_175;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-0_23;266;224;2;226;40;84.96
rabin-karp;test_3-5_0-8_254;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-6_207;266;220;3;223;43;83.83
rabin-karp;test_3-5_0-8_249;266;230;3;233;33;87.59
rabin-karp;test_3-5_0-5_151;266;226;4;230;36;86.47
rabin-karp;test_3-5_0-5_167;266;233;3;236;30;88.72
rabin-karp;test_3-5_0-8_269;266;226;3;229;37;86.09
rabin-karp;test_3-5_1-0_307;266;227;3;230;36;86.47
rabin-karp;test_3-5_0-3_103;266;222;2;224;42;84.21
rabin-karp;test_3-5_1-0_309;266;225;2;227;39;85.34
rabin-karp;test_3-5_0-2_64;266;229;2;231;35;86.84
rabin-karp;test_3-5_0-3_106;266;233;0;233;33;87.59
rabin-karp;test_3-5_0-5_163;266;232;0;232;34;87.22
rabin-karp;test_3-5_1-0_315;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-4_131;266;234;3;237;29;89.10
rabin-karp;test_3-5_1-0_323;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-7_231;266;237;2;239;27;89.85
rabin-karp;test_3-5_1-0_325;266;228;2;230;36;86.47
rabin-karp;test_3-5_0-5_170;266;235;3;238;28;89.47
rabin-karp;test_3-5_0-9_291;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-2_62;266;233;3;236;30;88.72
rabin-karp;test_3-5_0-9_271;266;227;3;230;36;86.47
rabin-karp;test_3-5_0-8_244;266;228;3;231;35;86.84
rabin-karp;test_3-5_1-0_302;266;218;3;221;45;83.08
rabin-karp;test_3-5_0-4_122;266;227;2;229;37;86.09
rabin-karp;test_3-5_0-1_41;266;232;2;234;32;87.97
rabin-karp;test_3-5_0-5_157;266;225;3;228;38;85.71
rabin-karp;test_3-5_0-9_288;266;222;3;225;41;84.59
rabin-karp;test_3-5_1-0_316;266;230;3;233;33;87.59
rabin-karp;test_3-5_0-4_124;266;227;7;234;32;87.97
rabin-karp;test_3-5_0-9_274;266;220;2;222;44;83.46
rabin-karp;test_3-5_0-2_75;266;224;2;226;40;84.96
rabin-karp;test_3-5_0-4_138;266;227;2;229;37;86.09
rabin-karp;test_3-5_0-2_68;266;232;0;232;34;87.22
rabin-karp;test_3-5_0-5_155;266;228;3;231;35;86.84
rabin-karp;test_3-5_0-5_158;266;236;2;238;28;89.47
rabin-karp;test_3-5_0-9_282;266;234;1;235;31;88.35
rabin-karp;test_3-5_0-9_277;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-6_189;266;229;2;231;35;86.84
rabin-karp;test_3-5_0-2_71;266;228;2;230;36;86.47
rabin-karp;test_3-5_0-1_34;266;224;2;226;40;84.96
rabin-karp;test_3-5_0-6_187;266;219;3;222;44;83.46
rabin-karp;test_3-5_1-0_318;266;229;1;230;36;86.47
rabin-karp;test_3-5_0-6_194;266;236;3;239;27;89.85
rabin-karp;test_3-5_0-9_276;266;226;3;229;37;86.09
rabin-karp;test_3-5_0-8_255;266;225;3;228;38;85.71
rabin-karp;test_3-5_0-7_234;266;225;3;228;38;85.71
rabin-karp;test_3-5_1-0_306;266;227;3;230;36;86.47
rabin-karp;test_3-5_1-0_303;266;222;3;225;41;84.59
rabin-karp;test_3-5_0-8_247;266;225;3;228;38;85.71
