project;filename;mutants;killed;incompetent;timeout;survived;mutation score
bfs;breadth_first_search.py;63;21;0;1;41;34.92
binheap;binheap.py;97;65;25;4;3;96.91
bst1;binary_search_tree.py;71;38;15;2;16;77.46
bst2;bst2.py;272;156;63;3;50;81.62
combinations;combinations.py;28;6;3;0;19;32.14
complement;complement.py;13;10;1;2;0;100.00
convert-base;convert_base.py;42;37;4;0;1;97.62
deque;deque.py;38;25;9;0;4;89.47
dfs;depth_first_search.py;45;17;14;1;13;71.11
dijkstras;dijkstras.py;40;0;0;0;40;0.00
dll;dll.py;155;102;33;1;19;87.74
edit-distance;edit_distance.py;104;37;14;3;50;51.92
factorial;factorial.py;9;4;5;0;0;100.00
fenwick;fenwick_tree.py;63;43;14;4;2;96.83
fibonacci;fibonacci.py;20;15;0;0;5;75.00
find-duplicates;find_duplicates.py;44;13;6;0;25;43.18
first-missing-positive;first_missing_positive.py;25;18;0;4;3;88.00
fizz-buzz;fizz_buzz.py;8;0;1;0;7;12.50
graph1;graph1.py;158;105;28;0;25;84.18
graph2;graph2.py;57;28;8;0;21;63.16
hamming;hamming_ops.py;11;8;1;2;0;100.00
hashmap;hash_map.py;76;61;9;0;6;92.11
heap;heap.py;152;95;34;11;12;92.11
heapsort;heapsort.py;40;5;16;0;19;52.50
linked-list1;linked_list1.py;80;61;7;4;8;90.00
linked-list2;linked_list2.py;96;62;22;4;8;91.67
long-comm;longest_common_prefix.py;28;22;4;0;2;92.86
lru-cache;lru_cache.py;90;64;14;0;12;86.67
mergesort;mergesort.py;36;15;6;4;11;69.44
naive-tree;naive_tree.py;62;17;10;0;35;43.55
perm-word;permutations.py;16;3;2;1;10;37.50
priority-queue1;priority_queue1.py;53;33;8;0;12;77.36
priority-queue2;priority_queue2.py;24;12;8;0;4;83.33
queue;a_queue.py;23;10;6;0;7;69.57
quicksort;quicksort.py;23;9;3;0;11;52.17
rabin-karp;rabin_karp_substring_search.py;56;33;1;0;22;60.71
radixsort;radixsort.py;31;12;7;0;12;61.29
stack;stack.py;12;0;2;0;10;16.67
trie;trie.py;56;38;8;0;10;82.14
word-squares;word_squares.py;23;9;4;0;10;56.52
