prj;type;cl/mo;me/fu;cc_max;rank_cc;lloc;sloc;mi;rank_mi;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
breadth_first_search.py;ST;1;2;11;C;41;39;74.64167670057032;A;9;27;17;35;36;52;156.9112875713945;268.8361000750002;5.833333333333333;1568.2105837708345;87.12281020949081;0.08961203335833341
binheap.py;OO;1;5;5;A;46;38;66.13348760334593;A;7;23;19;36;30;55;123.69340944371453;269.8789827584685;5.478260869565218;1478.4674707637841;82.13708170909912;0.08995966091948951
binary_search_tree.py;OO;1;7;4;A;54;54;61.643176465109974;A;5;7;7;11;12;18;31.26112492884004;64.52932501298082;3.9285714285714284;253.50806255099607;14.083781252833115;0.02150977500432694
bst2.py;OO;2;21;7;B;176;152;46.296655683692954;A;11;46;41;70;57;111;292.1375977836329;647.4507915722863;8.369565217391305;5418.881625115875;301.04897917310416;0.21581693052409545
combinations.py;ST;1;2;5;A;20;26;87.83473502961357;A;1;7;4;8;8;12;19.651484454403228;36.0;0.5714285714285714;20.57142857142857;1.1428571428571428;0.012
complement.py;ST;1;1;3;A;9;8;96.26708925592482;A;4;3;4;7;7;11;12.75488750216347;30.880904142633646;4.666666666666667;144.11088599895703;8.00616033327539;0.010293634714211216
convert_base.py;ST;1;2;7;B;14;14;72.06333430469198;A;10;25;19;35;35;54;149.31568569324173;276.9812829150282;7.0;1938.8689804051974;107.7149433558443;0.0923270943050094
deque.py;OO;1;8;2;A;32;22;100.0;A;0;0;0;0;0;0;0;0;0;0;0.0;0.0
depth_first_search.py;ST;1;1;11;C;25;24;79.96478274293314;A;8;23;15;31;31;46;128.0419249893113;227.8930302777963;5.391304347826087;1228.6406849759453;68.25781583199696;0.0759643434259321
dijkstras.py;ST;1;1;7;B;29;27;71.72127276690308;A;4;7;4;7;11;11;27.651484454403228;38.053747805010275;2.0;76.10749561002055;4.228194200556697;0.012684582601670092
dll.py;OO;2;9;8;B;95;83;54.21266130600658;A;8;18;18;35;26;53;99.05865002596161;249.1233050614779;7.777777777777778;1937.625706033717;107.64587255742873;0.08304110168715931
edit_distance.py;ST;1;1;16;C;48;46;70.57357596586694;A;8;43;40;77;51;117;257.3293844521902;663.6737650106651;7.162790697674419;4753.75627030895;264.0975705727194;0.22122458833688835
factorial.py;ST;1;1;2;A;7;5;77.40414304227949;A;3;5;3;6;8;9;16.36452797660028;27.0;1.8;48.6;2.7;0.009
fenwick_tree.py;OO;1;4;3;A;23;23;64.14380587772288;A;7;28;20;38;35;58;154.25742227201613;297.4984149828081;4.75;1413.1174711683384;78.5065261760188;0.0991661383276027
fibonacci.py;ST;1;2;3;A;13;11;66.16103760145398;A;4;9;7;14;13;21;36.52932501298081;77.70923408096293;3.111111111111111;241.762061585218;13.431225643623222;0.025903078026987644
find_duplicates.py;ST;1;3;5;A;31;30;70.66659716824653;A;7;17;12;24;24;36;89.13835275565901;165.05865002596164;4.9411764705882355;815.58391777534;45.31021765418555;0.05501955000865388
first_missing_positive.py;ST;1;1;6;B;14;13;68.43898818616466;A;7;12;11;23;19;34;62.67103446305711;144.4295354570819;6.708333333333333;968.881467024591;53.82674816803283;0.048143178485693966
fizz_buzz.py;ST;1;1;5;A;3;2;62.797200891904424;A;4;12;7;14;16;21;51.01955000865388;84.0;2.3333333333333335;196.0;10.88888888888889;0.028
graph1.py;OO;4;16;4;A;90;85;64.91111874165507;A;8;28;19;34;36;53;158.6059378176129;274.00602507644254;4.857142857142857;1330.8864075141494;73.93813375078608;0.09133534169214752
graph2.py;OO;1;10;3;A;40;28;84.01031277336239;A;1;4;2;4;5;6;8.0;13.931568569324174;0.5;6.965784284662087;0.3869880158145604;0.004643856189774725
hamming_ops.py;ST;1;2;2;A;11;9;67.34768039654892;A;4;6;4;8;10;12;23.509775004326936;39.863137138648355;2.6666666666666665;106.3016990363956;5.905649946466422;0.013287712379549451
hash_map.py;ST;1;7;4;A;49;42;62.684885402068005;A;5;27;15;30;32;45;139.9916030328505;225.0;2.7777777777777777;625.0;34.72222222222222;0.075
heap.py;OO;1;9;4;A;50;50;41.31956618862262;A;8;39;29;58;47;87;230.1306865356277;483.2492300959545;5.948717948717949;2874.7133687759347;159.7062982653297;0.1610830766986515
heapsort.py;ST;1;3;4;A;28;24;65.7399796525386;A;3;10;10;16;13;26;37.974168451037094;96.21143267166839;2.4;230.90743841200413;12.828191022889118;0.032070477557222796
linked_list1.py;OO;1;5;8;B;57;57;61.844998307752654;A;4;9;10;17;13;27;36.52932501298081;99.91187238980949;3.7777777777777777;377.44485125039137;20.969158402799522;0.03330395746326983
linked_list2.py;OO;2;8;6;B;62;50;68.0633791507833;A;7;22;14;26;29;40;117.75898006442377;194.3192398051029;4.136363636363637;803.775037375653;44.65416874309184;0.0647730799350343
longest_common_prefix.py;ST;1;2;3;A;24;21;82.61546546596124;A;6;11;6;11;17;17;53.563522809337215;69.48686830125578;3.0;208.46060490376735;11.581144716875963;0.023162289433751926
