project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
trie;test_3-5_0-9_283;29;27;0;27;2;93.10
trie;test_3-5_1-0_319;29;27;0;27;2;93.10
trie;test_3-5_0-7_223;29;26;0;26;3;89.66
trie;test_3-5_0-8_249;29;26;0;26;3;89.66
trie;test_3-5_1-0_307;29;27;0;27;2;93.10
trie;test_3-5_1-0_323;29;27;0;27;2;93.10
trie;test_3-5_0-7_231;29;27;0;27;2;93.10
trie;test_3-5_0-9_275;29;27;0;27;2;93.10
trie;test_3-5_0-6_205;29;27;0;27;2;93.10
trie;test_3-5_1-0_313;29;27;0;27;2;93.10
trie;test_3-5_0-9_289;29;27;0;27;2;93.10
trie;test_3-5_0-6_208;29;27;0;27;2;93.10
trie;test_3-5_0-5_158;29;27;0;27;2;93.10
trie;test_3-5_0-9_286;29;26;0;26;3;89.66
trie;test_3-5_1-0_330;29;27;0;27;2;93.10
trie;test_3-5_1-0_306;29;27;0;27;2;93.10
